,plot,measyear,species,treeAbsDens,treeAbsBasalArea,totalTrees,totalBasalArea,treeRelDens,treeRelBasalArea,seedAbsDens,totalSeeds,seedRelDens
1,EMRIDGE,1985,PICO,2,0.005724781,89,16.17072469,0.02247191,0.000354021,5,31,0.161290323
2,EMRIDGE,1985,PIMO,87,16.16499991,89,16.17072469,0.97752809,0.999645979,26,31,0.838709677
3,EMRIDGE,1989,PICO,2,0.0113883,92,13.14415673,0.02173913,0.000866415,5,28,0.178571429
4,EMRIDGE,1989,PIMO,90,13.13276843,92,13.14415673,0.97826087,0.999133585,23,28,0.821428571
5,EMRIDGE,1994,PICO,4,0.019037311,97,11.3071776,0.041237113,0.001683648,3,18,0.166666667
6,EMRIDGE,1994,PIMO,93,11.28814029,97,11.3071776,0.958762887,0.998316352,15,18,0.833333333
7,EMRIDGE,1999,PICO,6,0.022427097,111,10.37349016,0.054054054,0.002161963,1,4,0.25
8,EMRIDGE,1999,PIMO,105,10.35106306,111,10.37349016,0.945945946,0.997838037,3,4,0.75
9,EMRIDGE,2003,PICO,7,0.035197701,197,13.86902046,0.035532995,0.002537865,1,3,0.333333333
10,EMRIDGE,2003,PIMO,190,13.83382276,197,13.86902046,0.964467005,0.997462135,2,3,0.666666667
11,EMRIDGE,2008,PIBA,1,0.000113098,217,14.99379808,0.004608295,7.54E-06,NA,NA,NA
12,EMRIDGE,2008,PICO,8,0.051995836,217,14.99379808,0.036866359,0.003467823,1,4,0.25
13,EMRIDGE,2008,PIMO,208,14.94168915,217,14.99379808,0.958525346,0.996524634,3,4,0.75
14,EMRIDGE,2013,PIBA,1,0.000754769,236,15.48328292,0.004237288,4.87E-05,NA,NA,NA
15,EMRIDGE,2013,PICO,9,0.103346859,236,15.48328292,0.038135593,0.006674738,NA,NA,NA
16,EMRIDGE,2013,PIMO,226,15.37918129,236,15.48328292,0.957627119,0.993276514,2,2,1
17,BBBPIPO,1992,ABCO,157,8.225156478,1273,68.77907315,0.123330715,0.119588068,5,65,0.076923077
18,BBBPIPO,1992,CADE,695,26.30695258,1273,68.77907315,0.545954438,0.382484837,9,65,0.138461538
19,BBBPIPO,1992,PILA,63,1.565750663,1273,68.77907315,0.049489395,0.022764928,10,65,0.153846154
20,BBBPIPO,1992,PIPO,46,17.41989711,1273,68.77907315,0.036135114,0.253273217,1,65,0.015384615
21,BBBPIPO,1992,QUCH,7,0.083079612,1273,68.77907315,0.005498822,0.00120792,35,65,0.538461538
22,BBBPIPO,1992,QUKE,305,15.1782367,1273,68.77907315,0.239591516,0.22068103,5,65,0.076923077
23,BBBPIPO,1997,ABCO,147,8.558441753,1189,63.81027146,0.123633305,0.134123262,2,7,0.285714286
24,BBBPIPO,1997,CADE,630,27.54093222,1189,63.81027146,0.529857023,0.431606567,NA,NA,NA
25,BBBPIPO,1997,PILA,65,1.680348377,1189,63.81027146,0.054667788,0.026333509,3,7,0.428571429
26,BBBPIPO,1997,PIPO,31,11.30799599,1189,63.81027146,0.02607233,0.177212786,1,7,0.142857143
27,BBBPIPO,1997,QUCH,40,0.037016687,1189,63.81027146,0.033641716,0.000580105,NA,NA,NA
28,BBBPIPO,1997,QUKE,276,14.68553643,1189,63.81027146,0.232127839,0.23014377,1,7,0.142857143
29,BBBPIPO,1999,QUKE,NA,NA,NA,NA,NA,NA,1,1,1
30,BBBPIPO,2002,ABCO,148,8.60228985,1198,66.52932391,0.123539232,0.129300726,NA,NA,NA
31,BBBPIPO,2002,CADE,613,29.41467906,1198,66.52932391,0.511686144,0.442131038,NA,NA,NA
32,BBBPIPO,2002,PILA,70,1.975410591,1198,66.52932391,0.058430718,0.029692329,4,4,1
33,BBBPIPO,2002,PIPO,34,11.61260396,1198,66.52932391,0.028380634,0.174548654,NA,NA,NA
34,BBBPIPO,2002,QUCH,53,0.021007879,1198,66.52932391,0.044240401,0.000315769,NA,NA,NA
35,BBBPIPO,2002,QUKE,280,14.90333257,1198,66.52932391,0.233722871,0.224011484,NA,NA,NA
36,BBBPIPO,2005,PILA,NA,NA,NA,NA,NA,NA,1,2,0.5
37,BBBPIPO,2005,QUCH,NA,NA,NA,NA,NA,NA,1,2,0.5
38,BBBPIPO,2007,ABCO,155,9.553299294,1187,69.95871611,0.130581297,0.136556241,NA,NA,NA
39,BBBPIPO,2007,CADE,589,30.98351713,1187,69.95871611,0.49620893,0.442882872,2,6,0.333333333
40,BBBPIPO,2007,PILA,91,2.307715687,1187,69.95871611,0.076663858,0.032986822,3,6,0.5
41,BBBPIPO,2007,PIPO,31,11.66155637,1187,69.95871611,0.026116259,0.166691972,NA,NA,NA
42,BBBPIPO,2007,QUCH,49,0.023558513,1187,69.95871611,0.041280539,0.000336749,NA,NA,NA
43,BBBPIPO,2007,QUKE,272,15.42906912,1187,69.95871611,0.229149115,0.220545344,1,6,0.166666667
44,BBBPIPO,2012,ABCO,157,10.69337808,1131,72.32466327,0.138815208,0.147852442,NA,NA,NA
45,BBBPIPO,2012,CADE,527,31.68296924,1131,72.32466327,0.465959328,0.438065907,2,6,0.333333333
46,BBBPIPO,2012,PILA,109,2.568946796,1131,72.32466327,0.096374889,0.035519651,2,6,0.333333333
47,BBBPIPO,2012,PIPO,31,12.04379013,1131,72.32466327,0.027409372,0.166523971,1,6,0.166666667
48,BBBPIPO,2012,QUCH,57,0.017660504,1131,72.32466327,0.050397878,0.000244184,NA,NA,NA
49,BBBPIPO,2012,QUKE,250,15.31791852,1131,72.32466327,0.221043324,0.211793845,1,6,0.166666667
50,BBBPIPO,2013,CADE,NA,NA,NA,NA,NA,NA,1,16,0.0625
51,BBBPIPO,2013,PILA,NA,NA,NA,NA,NA,NA,12,16,0.75
52,BBBPIPO,2013,PIPO,NA,NA,NA,NA,NA,NA,2,16,0.125
53,BBBPIPO,2013,QUKE,NA,NA,NA,NA,NA,NA,1,16,0.0625
54,POFLABMA,1994,ABMA,555,102.8738998,589,105.9558683,0.942275042,0.970912715,1,1,1
55,POFLABMA,1994,PICO,34,3.081968505,589,105.9558683,0.057724958,0.029087285,NA,NA,NA
56,POFLABMA,1999,ABMA,565,105.098894,600,108.2835559,0.941666667,0.970589607,1,1,1
57,POFLABMA,1999,PICO,35,3.184661911,600,108.2835559,0.058333333,0.029410393,NA,NA,NA
58,POFLABMA,2004,ABMA,606,107.1312775,638,109.7385494,0.94984326,0.976241057,1,1,1
59,POFLABMA,2004,PICO,32,2.60727196,638,109.7385494,0.05015674,0.023758943,NA,NA,NA
60,POFLABMA,2009,ABMA,610,107.9304031,642,110.6341764,0.950155763,0.975561139,1,1,1
61,POFLABMA,2009,PICO,32,2.703773272,642,110.6341764,0.049844237,0.024438861,NA,NA,NA
62,POFLABMA,2011,ABMA,NA,NA,NA,NA,NA,NA,1,1,1
63,POFLABMA,2012,ABMA,NA,NA,NA,NA,NA,NA,2,2,1
64,POFLABMA,2014,ABMA,642,109.6955095,672,112.3229773,0.955357143,0.976607923,1,1,1
65,POFLABMA,2014,PICO,30,2.627467735,672,112.3229773,0.044642857,0.023392077,NA,NA,NA
66,SFTRABMA,1992,ABMA,1623,100.5079451,1630,100.6436143,0.995705521,0.998651984,21,21,1
67,SFTRABMA,1992,PIMO,7,0.135669211,1630,100.6436143,0.004294479,0.001348016,NA,NA,NA
68,SFTRABMA,1997,ABMA,1554,104.0460566,1561,104.1952732,0.995515695,0.998567914,4,4,1
69,SFTRABMA,1997,PIMO,7,0.149216575,1561,104.1952732,0.004484305,0.001432086,NA,NA,NA
70,SFTRABMA,1999,ABMA,NA,NA,NA,NA,NA,NA,1,1,1
71,SFTRABMA,2000,ABMA,NA,NA,NA,NA,NA,NA,1,1,1
72,SFTRABMA,2002,ABMA,1477,106.7590529,1484,106.9206308,0.995283019,0.998488804,2,2,1
73,SFTRABMA,2002,PIMO,7,0.161577986,1484,106.9206308,0.004716981,0.001511196,NA,NA,NA
74,SFTRABMA,2004,ABMA,NA,NA,NA,NA,NA,NA,1,1,1
75,SFTRABMA,2007,ABMA,1348,109.5121569,1355,109.6811177,0.994833948,0.998459527,10,10,1
76,SFTRABMA,2007,PIMO,7,0.168960746,1355,109.6811177,0.005166052,0.001540473,NA,NA,NA
77,SFTRABMA,2012,ABMA,1228,111.2301741,1233,111.4049405,0.99594485,0.998431251,3,3,1
78,SFTRABMA,2012,PIMO,5,0.174766423,1233,111.4049405,0.00405515,0.001568749,NA,NA,NA
79,SFTRABMA,2013,ABMA,NA,NA,NA,NA,NA,NA,4,4,1
80,FRPIJE,1983,ABCO,13,2.053798223,177,19.36085692,0.073446328,0.106079924,6,116,0.051724138
