X	Y	Species	Type	Diam	Height
241.124	265.089	CADE	Adult	0.444	0
221.515	60.862	CADE	Adult	1.716	0
39.957	43.096	CADE	Adult	1.499	0
68.86	77.373	CADE	Adult	0.491	0
198.846	108.703	CADE	Adult	0.568	0
283.591	78.695	CADE	Adult	3.432	0
205.869	42.928	CADE	Adult	31.94	0
76.4	136.108	CADE	Adult	26.546	0
74.366	269.511	CADE	Adult	13.775	0
201.558	225.29	CADE	Adult	12.93	0
222.286	103.022	CADE	Adult	0.426	0
227.674	287.222	CADE	Adult	13.176	0
19.487	174.947	CADE	Adult	15.161	0
8.733	198.702	CADE	Adult	18.944	0
7.808	74.886	CADE	Adult	26.076	0
187.539	42.642	CADE	Adult	0.477	0
132.344	288.788	CADE	Adult	0.525	0
8.87	188.755	CADE	Adult	0.328	0
144.497	32.381	CADE	Adult	0.595	0
217.526	188.499	CADE	Adult	15.877	0
165.241	167.02	CADE	Adult	0.417	0
122.944	52.101	CADE	Adult	17.215	0
39.246	151.437	CADE	Adult	5.892	0
272.386	194.906	CADE	Adult	1.673	0
45.008	212.029	CADE	Adult	1.558	0
146.059	145.742	CADE	Adult	6.587	0
293.416	198.224	CADE	Adult	25.992	0
94.028	75.183	CADE	Adult	4.84	0
255.589	244.144	CADE	Adult	41.523	0
174.495	79.353	CADE	Adult	13.673	0
174.849	26.949	CADE	Adult	3.534	0
103.277	218.023	CADE	Adult	23.752	0
81.775	294.715	CADE	Adult	13.06	0
43.507	123.675	CADE	Adult	26.41	0
160.483	40.079	CADE	Adult	1.568	0
189.114	189.593	CADE	Adult	32.021	0
287.353	35.99	CADE	Adult	12.896	0
67.048	254.001	CADE	Adult	23.151	0
66.086	28.636	CADE	Adult	24.216	0
39.561	191.368	CADE	Adult	0.457	0
288.026	229.348	CADE	Adult	6.354	0
86.783	245.944	CADE	Adult	0.69	0
268.688	250.575	CADE	Adult	91.892	0
250.127	119.333	CADE	Adult	0.462	0
217.5	227.596	CADE	Adult	34.985	0
161.554	11.134	CADE	Adult	18.699	0
234.57	139.545	CADE	Adult	7.003	0
5.945	41.411	CADE	Adult	0.583	0
267.555	289.396	CADE	Adult	11.012	0
138.93	53.518	CADE	Adult	14.701	0
5.052	9.129	CADE	Adult	0.375	0
241.307	84.348	CADE	Adult	0.307	0
158.918	294.574	CADE	Adult	35.762	0
299.174	88.228	CADE	Adult	10.734	0
66.879	156.745	CADE	Adult	46.489	0
227.509	42.333	CADE	Adult	12.115	0
208.54	230.137	CADE	Adult	0.523	0
242.564	160.126	CADE	Adult	12.616	0
94.404	58.35	CADE	Adult	13.275	0
285.655	59.051	CADE	Adult	11.212	0
190.355	6.158	CADE	Adult	17.128	0
38.868	146.636	CADE	Adult	16.888	0
124.778	204.529	CADE	Adult	5.516	0
63.547	256.412	CADE	Adult	0.458	0
108.106	57.615	CADE	Adult	32.86	0
81.143	55.971	CADE	Adult	114.898	0
275.649	113.103	CADE	Adult	12.134	0
239.076	115.754	CADE	Adult	23.128	0
265.862	27.462	CADE	Adult	13.669	0
20.85	217.126	CADE	Adult	6.02	0
118.697	77.863	CADE	Adult	27.692	0
214.393	187.973	CADE	Adult	1.556	0
298.504	287.419	CADE	Adult	33.557	0
199.181	0.507	CADE	Adult	10.867	0
3.493	265.846	CADE	Adult	6.141	0
206.748	292.09	CADE	Adult	30.947	0
51.732	160.28	CADE	Adult	26.667	0
247.431	297.914	CADE	Adult	37.02	0
73.96	291.246	CADE	Adult	4.903	0
177.99	231.517	CADE	Adult	55.514	0
183.595	153.665	CADE	Adult	15.29	0
218.918	9.696	CADE	Adult	12.118	0
141.472	131.452	CADE	Adult	13.657	0
71.588	242.727	CADE	Adult	0.2	0
138.301	182.877	CADE	Adult	1.268	0
3.33	7.113	CADE	Adult	11.985	0
175.661	201.53	CADE	Adult	7.351	0
32.449	35.704	CADE	Adult	14.14	0
265.987	283.199	CADE	Adult	0.274	0
299.046	1.169	CADE	Adult	21.729	0
238.238	41.61	CADE	Adult	1.986	0
169.017	20.609	CADE	Adult	0.324	0
52.737	211.88	CADE	Adult	16.364	0
161.503	160.447	CADE	Adult	19.983	0
221.578	203.487	CADE	Adult	4.442	0
59.083	22.138	CADE	Adult	4.149	0
262.164	13.811	CADE	Adult	6.59	0
89.627	234.595	CADE	Adult	8.798	0
87.637	190.496	CADE	Adult	0.217	0
9.718	218.034	CADE	Adult	20.154	0
236.016	108.229	CADE	Adult	46.709	0
183.542	4.424	CADE	Adult	3.74	0
76.938	25.842	CADE	Adult	16.393	0
143.377	72.69	CADE	Adult	1.858	0
278.872	81.375	CADE	Adult	5.37	0
9.976	64.218	CADE	Adult	27.23	0
81.407	279.608	CADE	Adult	8.699	0
221.752	226.929	CADE	Adult	0.794	0
228.154	235.635	CADE	Adult	0.234	0
220.118	183.456	CADE	Adult	0.587	0
178.435	80.508	CADE	Adult	32.616	0
114.33	102.872	CADE	Adult	43.989	0
176.673	220.996	CADE	Adult	8.14	0
121.184	158.827	CADE	Adult	13.713	0
93.61	78.478	CADE	Adult	74.658	0
37.383	50.941	CADE	Adult	12.041	0
37.314	132.968	CADE	Adult	19.294	0
254.848	297.901	CADE	Adult	22.442	0
287.344	208.319	CADE	Adult	14.177	0
108.825	198.702	CADE	Adult	0.289	0
33.238	265.357	CADE	Adult	13.645	0
282.272	70.171	CADE	Adult	8.353	0
192.58	252.182	CADE	Adult	83.491	0
31.329	40.091	CADE	Adult	17.99	0
6.573	12.895	CADE	Adult	11.744	0
63.538	54.429	CADE	Adult	4.714	0
257.924	197.495	CADE	Adult	0.191	0
48.507	243.768	CADE	Adult	41.222	0
158.035	126.278	CADE	Adult	6.503	0
181.855	200.706	CADE	Adult	5.283	0
213.819	257.125	CADE	Adult	5.542	0
175.645	168.79	CADE	Adult	18.022	0
248.256	104.112	CADE	Adult	23.547	0
212.987	141.307	CADE	Adult	37.253	0
