X	Y	Species	Type	Diam	Height
133.3	72.73	ABCO	Adult	2.11	0
173.74	251.16	ABCO	Adult	80.92	0
160.95	251.81	ABCO	Adult	1.24	0
124.42	162.16	ABCO	Adult	10.3	0
19.52	234.69	ABCO	Adult	11.61	0
291.47	1.46	ABCO	Adult	7.73	0
213.25	67.37	ABCO	Adult	22.91	0
79.7	166.35	ABCO	Adult	6.82	0
8.15	80.84	ABCO	Adult	5.64	0
287.34	38.77	ABCO	Adult	0.67	0
268.67	222.55	ABCO	Adult	4.3	0
276.09	206.21	ABCO	Adult	16.31	0
112.97	104.23	ABCO	Adult	3.96	0
245.05	38.52	ABCO	Adult	2.22	0
194.39	287.49	ABCO	Adult	19.07	0
46.91	237.9	ABCO	Adult	2.11	0
57.8	99.48	ABCO	Adult	2.34	0
175.85	231.96	ABCO	Adult	1.64	0
189.1	277.48	ABCO	Adult	19.9	0
98.97	142.45	ABCO	Adult	0.81	0
19.28	202.73	ABCO	Adult	3.16	0
69.11	288.47	ABCO	Adult	57.36	0
267.63	91.35	ABCO	Adult	3.36	0
81.99	163.7	ABCO	Adult	4.83	0
142.73	281.32	ABCO	Adult	0.7	0
207.19	95.43	ABCO	Adult	2.34	0
208.94	206.39	ABCO	Adult	0.44	0
49.41	154.95	ABCO	Adult	51.36	0
140.39	77.34	ABCO	Adult	3.18	0
162.93	162.07	ABCO	Adult	0.87	0
75.82	137.47	ABCO	Adult	66.55	0
64.52	85.63	ABCO	Adult	1.15	0
46.8	261.81	ABCO	Adult	4.5	0
182.54	68.78	ABCO	Adult	176.21	0
73.45	156.29	ABCO	Adult	1.62	0
7.83	136.59	ABCO	Adult	27.07	0
54.95	85.7	ABCO	Adult	5.96	0
107.05	233.82	ABCO	Adult	16.84	0
160.22	271.72	ABCO	Adult	0.61	0
178.25	116.04	ABCO	Adult	4.83	0
0.71	169.26	ABCO	Adult	2.09	0
229.43	165.31	ABCO	Adult	8.69	0
97.7	283.12	ABCO	Adult	4.23	0
282.36	183.01	ABCO	Adult	196.47	0
108.77	278.71	ABCO	Adult	14.71	0
211.35	130.17	ABCO	Adult	9.08	0
287.32	97.62	ABCO	Adult	15.48	0
190.52	105.93	ABCO	Adult	9.92	0
257.43	122.36	ABCO	Adult	11.63	0
8.98	255.56	ABCO	Adult	16.25	0
70.03	299.8	ABCO	Adult	2.18	0
87.11	93.27	ABCO	Adult	5.22	0
136.35	165.97	ABCO	Adult	10.51	0
46.45	133.53	ABCO	Adult	2.31	0
274.69	68.09	ABCO	Adult	15.59	0
70.34	202.14	ABCO	Adult	1.33	0
99.14	248.27	ABCO	Adult	0.75	0
55.5	270.95	ABCO	Adult	1.46	0
254.79	281.84	ABCO	Adult	4.12	0
208.2	126.95	ABCO	Adult	1.11	0
106.96	83.04	ABCO	Adult	19.73	0
101.73	177.01	ABCO	Adult	1.12	0
289.23	128.77	ABCO	Adult	1.56	0
250.95	47.82	ABCO	Adult	16.22	0
178.21	107.79	ABCO	Adult	16.02	0
207.8	92.8	ABCO	Adult	1.29	0
24.63	273.72	ABCO	Adult	2.24	0
227.69	256.29	ABCO	Adult	10.56	0
177.93	202.43	ABCO	Adult	5	0
204.5	74.28	ABCO	Adult	1.71	0
288.33	287.04	ABCO	Adult	1.6	0
189.69	143.89	ABCO	Adult	31.08	0
288.72	95.48	ABCO	Adult	3.67	0
45.12	266.63	ABCO	Adult	20.16	0
78.41	282.32	ABCO	Adult	49.44	0
121.32	73.45	ABCO	Adult	5.9	0
20.2	110.94	ABCO	Adult	0.78	0
281.84	25.94	ABCO	Adult	3.89	0
193.52	284.98	ABCO	Adult	12.62	0
132.86	55.89	ABCO	Adult	2.23	0
190.07	116.95	ABCO	Adult	4.03	0
80.88	265.66	ABCO	Adult	60.84	0
2.27	120.23	ABCO	Adult	2.19	0
28.64	247.5	ABCO	Adult	6.37	0
251.9	34.38	ABCO	Adult	0.42	0
23.87	221.39	ABCO	Adult	1.05	0
205.49	153.95	ABCO	Adult	45.59	0
292.96	280.71	ABCO	Adult	9.75	0
114.5	240.44	ABCO	Adult	7.69	0
120.16	225.11	ABCO	Adult	8.86	0
72.37	229.43	ABCO	Adult	54.25	0
194.7	133.55	ABCO	Adult	9.42	0
296.52	89.32	ABCO	Adult	3.43	0
191.85	270.89	ABCO	Adult	2.62	0
260.38	200.75	ABCO	Adult	4.01	0
296.44	2.41	ABCO	Adult	2.55	0
174.92	294.36	ABCO	Adult	7.05	0
247.89	210.05	ABCO	Adult	164.03	0
193.26	77.51	ABCO	Adult	2.21	0
107.4	221.63	ABCO	Adult	3.41	0
189.44	91.09	ABCO	Adult	2.53	0
63	196.31	ABCO	Adult	13.05	0
21.62	106.02	ABCO	Adult	2.5	0
271.91	96	ABCO	Adult	5.12	0
223.83	289.22	ABCO	Adult	12.23	0
181.48	248.27	ABCO	Adult	59.31	0
122.13	225.27	ABCO	Adult	4.87	0
234.01	149.47	ABCO	Adult	3.61	0
54.24	266.93	ABCO	Adult	2.19	0
228.51	130.85	ABCO	Adult	4.6	0
69.33	282.17	ABCO	Adult	1.91	0
27.05	241.57	ABCO	Adult	6.14	0
52.4	129.85	ABCO	Adult	99.31	0
55.28	288.46	ABCO	Adult	5.31	0
19.21	184.87	ABCO	Adult	10.69	0
175.14	157.05	ABCO	Adult	13.18	0
159.27	125.73	ABCO	Adult	3.92	0
79.76	53.09	ABCO	Adult	2.58	0
198.61	79.51	ABCO	Adult	1.83	0
103.09	135.63	ABCO	Adult	19.82	0
281.09	213.92	ABCO	Adult	18.12	0
283.67	209.83	ABCO	Adult	2.55	0
109.74	149.7	ABCO	Adult	3.78	0
9.95	52.91	ABCO	Adult	12.02	0
95.56	130.63	ABCO	Adult	14.39	0
273.42	178.84	ABCO	Adult	5.82	0
273.28	259	ABCO	Adult	1.6	0
45.66	279.19	ABCO	Adult	1.55	0
252.46	159.55	ABCO	Adult	3.97	0
233.44	244.26	ABCO	Adult	261.68	0
33.72	256.85	ABCO	Adult	20.78	0
163.91	157.14	ABCO	Adult	0.37	0
34.9	190.1	ABCO	Adult	2.46	0
102.25	239.8	ABCO	Adult	3.52	0
28.51	126.55	ABCO	Adult	0.22	0
190.6	70.19	ABCO	Adult	11.09	0
238.76	82.7	ABCO	Adult	6	0
183.13	290.42	ABCO	Adult	6.79	0
162.77	277.7	ABCO	Adult	47.45	0
229.08	15.75	ABCO	Adult	115.96	0
19.9	115.92	ABCO	Adult	28.04	0
233.25	9.92	ABCO	Adult	1.66	0
192.42	278.92	ABCO	Adult	7.49	0
136.93	167.02	ABCO	Adult	4.16	0
11.65	129.63	ABCO	Adult	5.82	0
73.69	170.15	ABCO	Adult	4.94	0
97.89	61.34	ABCO	Adult	1.21	0
12.37	148.83	ABCO	Adult	2.57	0
296.93	120.71	ABCO	Adult	17.54	0
260.21	98.25	ABCO	Adult	2.07	0
34.69	90.69	ABCO	Adult	0.6	0
91.2	190.69	ABCO	Adult	3.75	0
253.01	247.92	ABCO	Adult	1.55	0
43.95	214.06	ABCO	Adult	15.33	0
182.68	241.44	ABCO	Adult	3.21	0
170.25	233.85	ABCO	Adult	0.87	0
123.82	129.4	ABCO	Adult	6.63	0
287.98	178.89	ABCO	Adult	8.92	0
119.33	189.89	ABCO	Adult	30.76	0
289.98	140.25	ABCO	Adult	1.22	0
285.84	118.33	ABCO	Adult	113.08	0
76.69	66.02	ABCO	Adult	3.78	0
31.35	186.77	ABCO	Adult	10.95	0
62.31	234.66	ABCO	Adult	0.9	0
51.5	55.72	ABCO	Adult	18.11	0
247.28	222.3	ABCO	Adult	8.74	0
62.37	209	ABCO	Adult	32.81	0
239.78	195.19	ABCO	Adult	9.31	0
196.53	292.63	ABCO	Adult	6.49	0
72.54	286.88	ABCO	Adult	13.56	0
124.29	160.37	ABCO	Adult	18.07	0
86.94	157.82	ABCO	Adult	24.43	0
3.79	231.55	ABCO	Adult	15.36	0
