X	Y	Species	Type	Diam	Height
119.635	137.071	PILA	Adult	37.095	0
114.89	110.516	PILA	Adult	13.464	0
112.069	99.334	PILA	Adult	38.07	0
192.294	151.492	PILA	Adult	4.406	0
102.35	121.489	PILA	Adult	94.228	0
35.549	180.685	PILA	Adult	31.542	0
235.619	247.685	PILA	Adult	10.29	0
140.252	269.092	PILA	Adult	11.302	0
205.58	134.324	PILA	Adult	15.917	0
100.824	143.254	PILA	Adult	35.477	0
23.877	266.158	PILA	Adult	29.143	0
207.112	166.306	PILA	Adult	36.474	0
178.455	81.58	PILA	Adult	1.666	0
183.344	257.233	PILA	Adult	130.461	0
31.013	185.851	PILA	Adult	25.358	0
1.835	96.302	PILA	Adult	149.588	0
7.474	250.61	PILA	Adult	46.675	0
268.105	201.677	PILA	Adult	18.947	0
160.53	168.875	PILA	Adult	0.749	0
131.441	78.574	PILA	Adult	3.91	0
26.977	192.552	PILA	Adult	17.379	0
55.475	32.527	PILA	Adult	12.994	0
3.766	124.557	PILA	Adult	19.047	0
102.108	110.054	PILA	Adult	90.336	0
154.872	208.415	PILA	Adult	13.827	0
90.034	147.474	PILA	Adult	28.834	0
286.451	166.186	PILA	Adult	15.32	0
115.389	257.251	PILA	Adult	8.588	0
71.588	21.287	PILA	Adult	14.995	0
142.479	47.645	PILA	Adult	82.789	0
216.695	150.841	PILA	Adult	11.407	0
26.791	49.062	PILA	Adult	22.433	0
181.74	219.946	PILA	Adult	3.374	0
133.644	170.896	PILA	Adult	46.511	0
20.433	163.116	PILA	Adult	35.959	0
63.908	107.414	PILA	Adult	4.023	0
219.975	129.769	PILA	Adult	24.415	0
95.895	188.859	PILA	Adult	15.522	0
79.024	265.356	PILA	Adult	33.528	0
185.641	207.436	PILA	Adult	11.494	0
222.653	161.432	PILA	Adult	144.844	0
76.575	251.789	PILA	Adult	17.279	0
91.334	247.511	PILA	Adult	37.28	0
149.768	141.234	PILA	Adult	3.771	0
129.149	37.941	PILA	Adult	36.512	0
175.168	279.835	PILA	Adult	12.157	0
215.432	264.006	PILA	Adult	27.957	0
210.81	83.84	PILA	Adult	12.229	0
111.154	234.898	PILA	Adult	18.022	0
298.463	191.796	PILA	Adult	16.891	0
189.881	282.246	PILA	Adult	4.942	0
70.235	269.81	PILA	Adult	55.006	0
90.192	299.08	PILA	Adult	8.603	0
60.237	121.252	PILA	Adult	146.994	0
95.421	94.352	PILA	Adult	94.973	0
151.571	40.696	PILA	Adult	24.507	0
45.18	290.559	PILA	Adult	17.042	0
3.821	286.765	PILA	Adult	10.308	0
251.02	184.067	PILA	Adult	92.259	0
224.158	252.951	PILA	Adult	35.913	0
297.707	213.887	PILA	Adult	3.368	0
42.609	212.813	PILA	Adult	31.932	0
103.723	85.261	PILA	Adult	26.435	0
4.195	148.986	PILA	Adult	35.251	0
143.262	237.97	PILA	Adult	27.335	0
38.557	168.008	PILA	Adult	31.994	0
97.92	278.543	PILA	Adult	5.021	0
288.581	144.636	PILA	Adult	9.941	0
224.109	294.925	PILA	Adult	3.042	0
169.283	158.334	PILA	Adult	22.091	0
52.311	34.499	PILA	Adult	136.958	0
180.879	218.402	PILA	Adult	37.25	0
233.198	240.582	PILA	Adult	39.213	0
141.75	82.95	PILA	Adult	35.081	0
8.954	202.698	PILA	Adult	6.603	0
265.096	28.767	PILA	Adult	4.792	0
178.217	273.551	PILA	Adult	7.259	0
152.526	103.531	PILA	Adult	7.642	0
259.966	249.188	PILA	Adult	53.149	0
167.31	162.66	PILA	Adult	25.453	0
161.893	265.515	PILA	Adult	27.299	0
295.9	240.24	PILA	Adult	0.763	0
40.993	214.223	PILA	Adult	17.919	0
118.317	252.083	PILA	Adult	19.75	0
192.746	181.409	PILA	Adult	124.744	0
8.069	4.683	PILA	Adult	38.879	0
79.926	88.645	PILA	Adult	11.153	0
230.821	108.9	PILA	Adult	36.523	0
145.179	42.228	PILA	Adult	40.203	0
198.756	60.988	PILA	Adult	16.896	0
256.093	273.837	PILA	Adult	0.755	0
39.216	58.981	PILA	Adult	1.831	0
82.605	68.473	PILA	Adult	23.503	0
291.574	119.608	PILA	Adult	25.811	0
220.726	126.333	PILA	Adult	22.063	0
252.824	293.137	PILA	Adult	3.291	0
272.829	49.867	PILA	Adult	4.771	0
186.899	233.306	PILA	Adult	91.704	0
122.767	257.848	PILA	Adult	34.588	0
118.553	90.345	PILA	Adult	79.73	0
260.185	174.159	PILA	Adult	22.407	0
44.746	86.955	PILA	Adult	118.037	0
76.908	91.029	PILA	Adult	119.541	0
62.809	290.234	PILA	Adult	2.865	0
204.401	213.381	PILA	Adult	34.717	0
243.648	113.225	PILA	Adult	4.898	0
290.028	37.021	PILA	Adult	3.498	0
50.559	190.682	PILA	Adult	36.183	0
