X	Y	Species	Type	Diam	Height
72.497	85.956	CADE	Adult	19.205	0
116.086	137.376	CADE	Adult	14.408	0
227.607	98.617	CADE	Adult	27.628	0
225.901	198.204	CADE	Adult	29.705	0
200.499	6.254	CADE	Adult	63.626	0
289.239	69.919	CADE	Adult	0.482	0
177.099	264.228	CADE	Adult	15.622	0
81.822	186.239	CADE	Adult	17.687	0
33.366	120.25	CADE	Adult	0.216	0
110.357	295.328	CADE	Adult	8.085	0
127.618	285.256	CADE	Adult	23.103	0
200.297	126.195	CADE	Adult	8.78	0
150.972	77.618	CADE	Adult	16.081	0
29.48	243.274	CADE	Adult	21.858	0
182.451	233.031	CADE	Adult	6.173	0
246.179	160.114	CADE	Adult	0.755	0
108.313	240.071	CADE	Adult	0.535	0
204.087	254.018	CADE	Adult	12.597	0
204.348	117.914	CADE	Adult	41.844	0
35.983	203.486	CADE	Adult	13.69	0
143.354	231.086	CADE	Adult	1.638	0
45.758	232.296	CADE	Adult	0.726	0
61.37	153.045	CADE	Adult	29.394	0
155.706	179.089	CADE	Adult	33.606	0
54.484	242.412	CADE	Adult	16.422	0
48.513	124.523	CADE	Adult	18.891	0
186.458	277.058	CADE	Adult	19.488	0
82.714	205.323	CADE	Adult	22.376	0
208.46	41.865	CADE	Adult	58.668	0
55.271	254.392	CADE	Adult	59.475	0
165.671	191.562	CADE	Adult	7.831	0
288.216	243.827	CADE	Adult	9.061	0
156.43	292.751	CADE	Adult	9.138	0
254.877	194.652	CADE	Adult	18.967	0
146.475	212.539	CADE	Adult	15.757	0
27.501	126.386	CADE	Adult	1.653	0
284.141	102.945	CADE	Adult	10.451	0
228.529	71.083	CADE	Adult	8.724	0
76.861	129.097	CADE	Adult	16.024	0
120.591	137.131	CADE	Adult	18.249	0
151.002	256.008	CADE	Adult	18.11	0
59.251	118.712	CADE	Adult	16.044	0
225.019	237.918	CADE	Adult	0.712	0
278.206	211.153	CADE	Adult	47.856	0
271.508	186.676	CADE	Adult	30.575	0
110.801	230.931	CADE	Adult	17.597	0
252.906	5.116	CADE	Adult	1.565	0
61.226	46.457	CADE	Adult	0.531	0
20.954	114.123	CADE	Adult	23.67	0
93.068	34.648	CADE	Adult	18.048	0
242.082	80.932	CADE	Adult	61.596	0
97.45	120.064	CADE	Adult	59.458	0
240.562	234.137	CADE	Adult	30.323	0
240.578	80.117	CADE	Adult	10.032	0
149.25	162.637	CADE	Adult	5.808	0
71.465	290.659	CADE	Adult	102.951	0
11.408	47.968	CADE	Adult	30.57	0
196.867	189.962	CADE	Adult	19.151	0
250.859	206.543	CADE	Adult	14.856	0
139.631	268.457	CADE	Adult	0.46	0
116.3	224.301	CADE	Adult	12.158	0
114.609	243.973	CADE	Adult	17.254	0
256.267	43.679	CADE	Adult	59.854	0
151.873	57.764	CADE	Adult	0.763	0
187.546	40.331	CADE	Adult	11.549	0
32.083	62.12	CADE	Adult	10.51	0
69.206	211.411	CADE	Adult	0.684	0
150.368	226.891	CADE	Adult	0.546	0
181.212	159.513	CADE	Adult	0.513	0
187.563	71.328	CADE	Adult	28.915	0
52.064	16.841	CADE	Adult	0.455	0
7.493	106.907	CADE	Adult	1.581	0
254.625	1.693	CADE	Adult	9.615	0
159.452	220.528	CADE	Adult	17.207	0
220.173	32.243	CADE	Adult	13.767	0
134.351	65.589	CADE	Adult	18.039	0
102.169	216.098	CADE	Adult	0.548	0
190.755	211.474	CADE	Adult	10.603	0
57.355	55.496	CADE	Adult	34.399	0
28.151	100.217	CADE	Adult	9.366	0
66.768	231.554	CADE	Adult	1.248	0
105.575	8.905	CADE	Adult	4.866	0
173.694	138.172	CADE	Adult	15.007	0
70.767	76.758	CADE	Adult	60.456	0
84.775	138.835	CADE	Adult	11.553	0
63.114	21.054	CADE	Adult	1.374	0
3.611	248.212	CADE	Adult	29.494	0
50.528	281.82	CADE	Adult	6.635	0
204.648	57.26	CADE	Adult	1.337	0
123.046	245.673	CADE	Adult	1.624	0
187.674	258.576	CADE	Adult	0.219	0
150.02	9.062	CADE	Adult	16.648	0
8.522	139.456	CADE	Adult	14.13	0
48.545	252.096	CADE	Adult	4.326	0
12.071	47.115	CADE	Adult	13.706	0
266.3	168.958	CADE	Adult	57.226	0
180.576	161.353	CADE	Adult	8.687	0
170.315	142.829	CADE	Adult	0.504	0
111.784	18.313	CADE	Adult	18.74	0
232.481	211.751	CADE	Adult	6.489	0
166.896	183.411	CADE	Adult	1.643	0
76.77	66.184	CADE	Adult	17.849	0
294.648	225.244	CADE	Adult	1.269	0
142.071	223.28	CADE	Adult	0.193	0
292.054	147.526	CADE	Adult	16.314	0
27.23	124.563	CADE	Adult	0.695	0
278.413	24.066	CADE	Adult	8.83	0
99.44	276.017	CADE	Adult	0.19	0
209.245	162.599	CADE	Adult	16.05	0
108.936	216.771	CADE	Adult	21.008	0
197.265	75.314	CADE	Adult	38.684	0
178.345	219.068	CADE	Adult	17.588	0
24.446	23.197	CADE	Adult	9.977	0
234.975	122.493	CADE	Adult	8.201	0
116.893	117.83	CADE	Adult	8.777	0
252.709	78.627	CADE	Adult	0.708	0
65.588	178.914	CADE	Adult	11.569	0
3.262	34.292	CADE	Adult	1.53	0
259.083	127.04	CADE	Adult	21.034	0
257.232	226.808	CADE	Adult	0.525	0
258.723	188.222	CADE	Adult	4.405	0
163.141	157.254	CADE	Adult	10.145	0
50.477	84.077	CADE	Adult	16.578	0
43.443	278.542	CADE	Adult	17.212	0
67.458	204.524	CADE	Adult	62.413	0
195.833	176.016	CADE	Adult	29.283	0
240.514	134.358	CADE	Adult	1.393	0
113.137	83.926	CADE	Adult	12.322	0
150.985	205.958	CADE	Adult	4.019	0
254.282	29.11	CADE	Adult	14.053	0
187.119	161.239	CADE	Adult	13.707	0
185.473	88.032	CADE	Adult	11.789	0
14.833	273.887	CADE	Adult	8.703	0
293.979	32.389	CADE	Adult	11.206	0
198.361	211.109	CADE	Adult	19.094	0
25.04	53.974	CADE	Adult	6.995	0
29.658	19.215	CADE	Adult	14.454	0
178.506	102.902	CADE	Adult	6.976	0
137.414	241.11	CADE	Adult	19.562	0
121.677	258.03	CADE	Adult	9.08	0
145.37	49.337	CADE	Adult	8.753	0
208.581	240.538	CADE	Adult	6.248	0
30.65	188.582	CADE	Adult	16.457	0
98.099	175.935	CADE	Adult	1.632	0
69.315	271.234	CADE	Adult	8.769	0
24.131	22.717	CADE	Adult	19.844	0
127.06	207.93	CADE	Adult	11.115	0
173.419	109.67	CADE	Adult	5.504	0
65.644	117.513	CADE	Adult	15.053	0
202.883	278.692	CADE	Adult	96.251	0
220.025	192.401	CADE	Adult	15.267	0
23.139	252.416	CADE	Adult	5.061	0
165.86	5.925	CADE	Adult	13.932	0
74.473	257.683	CADE	Adult	63.105	0
103.145	61.885	CADE	Adult	8.87	0
191.585	56.2	CADE	Adult	17.915	0
26.409	24.364	CADE	Adult	1.647	0
236.523	227.084	CADE	Adult	8.872	0
286.937	80.77	CADE	Adult	0.48	0
246.255	188.024	CADE	Adult	57.81	0
84.803	200.734	CADE	Adult	11.282	0
88.267	111.359	CADE	Adult	1.639	0
143.498	141.452	CADE	Adult	19.253	0
137.636	235.077	CADE	Adult	0.525	0
290.068	234.132	CADE	Adult	41.562	0
184.932	68.561	CADE	Adult	17.654	0
187.477	278.652	CADE	Adult	15.578	0
52.053	64.465	CADE	Adult	9.595	0
267.956	241.795	CADE	Adult	0.708	0
109.944	248.949	CADE	Adult	18.064	0
94.7	205.692	CADE	Adult	39.395	0
90.205	91.737	CADE	Adult	4.664	0
1.244	34.208	CADE	Adult	19.014	0
133.501	10.943	CADE	Adult	31.075	0
230.27	89.362	CADE	Adult	21.806	0
19.032	294.31	CADE	Adult	13.542	0
299.608	186.773	CADE	Adult	11.239	0
161.242	89.866	CADE	Adult	18.676	0
125.977	19.221	CADE	Adult	8.14	0
248.848	223.989	CADE	Adult	19.442	0
40.063	174.84	CADE	Adult	17.336	0
93.327	56.304	CADE	Adult	5.312	0
204.763	260.231	CADE	Adult	15.598	0
200.201	287.674	CADE	Adult	17.5	0
271.681	67.017	CADE	Adult	8.324	0
3.316	278.508	CADE	Adult	1.411	0
244.94	172.937	CADE	Adult	56.522	0
162.933	64.735	CADE	Adult	20.544	0
116.734	89.977	CADE	Adult	7.87	0
20.155	219.277	CADE	Adult	38.284	0
82.718	280.653	CADE	Adult	14.643	0
189.895	69.103	CADE	Adult	38.986	0
97.392	115.356	CADE	Adult	5.235	0
268.108	296.879	CADE	Adult	5.215	0
57.754	34.154	CADE	Adult	12.623	0
243.043	176.098	CADE	Adult	31.449	0
104.066	113.564	CADE	Adult	66.819	0
246.092	264.826	CADE	Adult	0.216	0
72.133	178.978	CADE	Adult	29.074	0
207.132	24.97	CADE	Adult	0.639	0
274.3	130.444	CADE	Adult	60.467	0
