X	Y	Species	Type	Diam	Height
219.96	30.54	PICO	Adult	3.65	0
271.34	233.59	PICO	Adult	4.92	0
268.91	109.38	PICO	Adult	0.45	0
270.41	194.37	PICO	Adult	0.87	0
282.56	295.24	PICO	Adult	3.34	0
0.46	76.28	PICO	Adult	0.93	0
175.31	281.64	PICO	Adult	1.38	0
214.16	83.11	PICO	Adult	1.16	0
152.58	239.31	PICO	Adult	1.28	0
179.96	166.96	PICO	Adult	1.85	0
29.84	223.84	PICO	Adult	3.99	0
193.8	109.41	PICO	Adult	7.99	0
33.06	105.11	PICO	Adult	7.84	0
159.89	55.97	PICO	Adult	0.57	0
98.29	227.91	PIMO	Adult	3.67	0
182.65	55.04	PIMO	Adult	6.34	0
198.99	209.27	PIMO	Adult	4.1	0
146.42	219.24	PIMO	Adult	7.29	0
170.97	113.45	PIMO	Adult	15.75	0
241.66	37.41	PIMO	Adult	29.79	0
150.23	137	PIMO	Adult	2.71	0
256.51	27.18	PIMO	Adult	19.01	0
287.58	43.03	PIMO	Adult	4.46	0
6.41	217.99	PIMO	Adult	13.3	0
153.23	30.71	PIMO	Adult	3.04	0
293.36	124.38	PIMO	Adult	15.14	0
73.01	88.43	PIMO	Adult	20.23	0
176.18	294.03	PIMO	Adult	20.5	0
75.11	209.48	PIMO	Adult	60.45	0
53.2	200.33	PIMO	Adult	11.13	0
30.67	294.73	PIMO	Adult	51.91	0
225.99	242.43	PIMO	Adult	24.83	0
74.5	75.3	PIMO	Adult	39.45	0
55.08	174.13	PIMO	Adult	4.65	0
298.03	220.16	PIMO	Adult	13.98	0
202.23	35.71	PIMO	Adult	15.03	0
220.17	18.33	PIMO	Adult	30.59	0
17	148.39	PIMO	Adult	5.83	0
11.78	220.46	PIMO	Adult	5.66	0
241.06	157.1	PIMO	Adult	36.37	0
14.35	111.08	PIMO	Adult	14.47	0
293.51	76.2	PIMO	Adult	74.7	0
58.96	126.42	PIMO	Adult	10.21	0
147.03	93.43	PIMO	Adult	11.43	0
192.64	14.38	PIMO	Adult	8.7	0
138.27	238.01	PIMO	Adult	5.36	0
250.57	273.72	PIMO	Adult	5.17	0
74.52	151.89	PIMO	Adult	3.86	0
13.51	176.04	PIMO	Adult	12.46	0
255.11	114.4	PIMO	Adult	107.64	0
235.84	205.98	PIMO	Adult	14.31	0
181.02	123.6	PIMO	Adult	52.3	0
185.77	171.86	PIMO	Adult	1.93	0
11.36	213.1	PIMO	Adult	24.44	0
