X	Y	Species	Type	Diam
39.37	140.96	PICO	Adult	2.49
268.74	209.34	PICO	Adult	3.82
160.85	52.73	PICO	Adult	46.69
74.1	240.73	PICO	Adult	5.21
203.84	162.53	PICO	Adult	8.38
205.6	247.04	PICO	Adult	4.17
248	158.76	PICO	Adult	6.56
9.25	252.12	PICO	Adult	2.26
68.06	175.98	PICO	Adult	2.33
248.25	149.8	PICO	Adult	11.93
88.33	287.47	PICO	Adult	5.87
272.95	286.86	PICO	Adult	1.77
187.84	83.48	PICO	Adult	2.09
196.58	221.02	PICO	Adult	6.51
270.74	255.83	PICO	Adult	1.35
249.03	16.68	PICO	Adult	1.4
175.8	91.95	PIMO	Adult	36.82
85.86	223.91	PIMO	Adult	11.31
196.62	113.05	PIMO	Adult	48.43
145.85	69.09	PIMO	Adult	15.35
73.33	294.24	PIMO	Adult	9.35
281.72	177.95	PIMO	Adult	9.59
134.08	125.07	PIMO	Adult	4.28
125.25	126.41	PIMO	Adult	17.18
281.82	42.6	PIMO	Adult	40.34
123.82	183.87	PIMO	Adult	20.94
106.65	88.32	PIMO	Adult	40.86
22.03	104.87	PIMO	Adult	26.3
112.48	162.07	PIMO	Adult	11.26
203.39	288.92	PIMO	Adult	51.24
283.62	216.96	PIMO	Adult	14.71
249.52	228.27	PIMO	Adult	2.66
114.52	247.14	PIMO	Adult	15.39
124.1	280.84	PIMO	Adult	13.67
142.1	242.75	PIMO	Adult	10.43
284.98	54.48	PIMO	Adult	6.48
246.28	257.08	PIMO	Adult	27.93
214.71	211.46	PIMO	Adult	3.68
178.24	136.34	PIMO	Adult	11.75
184.78	57.74	PIMO	Adult	10.29
85.99	166.48	PIMO	Adult	5.45
160.6	112.23	PIMO	Adult	67.59
120.82	189.63	PIMO	Adult	7.86
255.6	152.33	PIMO	Adult	55.74
43.55	124.75	PIMO	Adult	15.94
162.41	134.39	PIMO	Adult	71.39
107.29	219.06	PIMO	Adult	5.89
40.31	290.05	PIMO	Adult	16.51
22.47	75.74	PIMO	Adult	11.47
5.39	261.25	PIMO	Adult	23.15
279.04	54.84	PIMO	Adult	5.16
133.52	117.92	PIMO	Adult	88.87
210.18	277.04	PIMO	Adult	5.57
213.92	127.75	PIMO	Adult	60.68
240.67	162.87	PIMO	Adult	16.23
206.35	257.35	PIMO	Adult	16.98
182.59	66.13	PIMO	Adult	35.31
1.96	241.64	PIMO	Adult	58.38
212.12	231.3	PIMO	Adult	140.37
221.56	179.19	PIMO	Adult	27.87
87.21	291.76	PIMO	Adult	40.46
104.28	265.66	PIMO	Adult	8.63
155.06	133.62	PIMO	Adult	177.09
254.29	214.4	PIMO	Adult	4.68
69.69	107.05	PIMO	Adult	101.51
281.19	138.77	PIMO	Adult	6.86
298.19	273.91	PIMO	Adult	18.17
109.13	89.15	PIMO	Adult	48.35
58.73	175.16	PIMO	Adult	1.32
44.74	170.13	PIMO	Adult	330.29
215.58	288.76	PIMO	Adult	71.38
31.43	211.26	PIMO	Adult	4.98
291.17	101.55	PIMO	Adult	13.01
4.16	217.11	PIMO	Adult	24.97
241.49	131.08	PIMO	Adult	15.6
273.59	230.94	PIMO	Adult	25.73
37.38	242.79	PIMO	Adult	2.48
165.8	148.48	PIMO	Adult	4.14
71.17	167.36	PIMO	Adult	6.64
225.46	199.23	PIMO	Adult	80.87
113.34	262.11	PIMO	Adult	7
204.6	274.9	PIMO	Adult	3.2
54.87	249.39	PIMO	Adult	10.96
48.01	168.63	PIMO	Adult	19.84
130.91	164.78	PIMO	Adult	37.26
110.15	296.87	PIMO	Adult	16.67
163.18	299.9	PIMO	Adult	42.01
299.79	175.32	PIMO	Adult	63.65
81.33	213.52	PIMO	Adult	31.28
133.86	84.77	PIMO	Adult	26.09
240.79	132.35	PIMO	Adult	9.94
142.87	51.43	PIMO	Adult	22.52
132.09	242.28	PIMO	Adult	7.82
90.32	176.49	PIMO	Adult	7
60.91	190.33	PIMO	Adult	14.8
261.76	114.33	PIMO	Adult	26.23
198.53	250.95	PIMO	Adult	34.5
