X	Y	Species	Type	Diam
28.1	278.22	ABMA	Adult	1.3
116.85	289.86	ABMA	Adult	1.3
204.64	254.55	ABMA	Adult	1.3
172.22	211.88	ABMA	Adult	1.3
178.16	184.01	ABMA	Adult	1.3
137	210.54	ABMA	Adult	1.3
133.5	191.34	ABMA	Adult	1.3
217.9	275.21	ABMA	Adult	1.3
217.34	208.42	PICO	Adult	13.19
277.63	4.72	PICO	Adult	59.59
252.55	297.73	PICO	Adult	1.68
121.66	1.3	PICO	Adult	19.97
117.5	40.52	PICO	Adult	12.19
220.24	158.6	PICO	Adult	26.65
61.02	290.42	PICO	Adult	8.48
218.12	126.35	PICO	Adult	0.77
50.57	219.51	PICO	Adult	6.42
16.9	124.25	PICO	Adult	2.72
104.07	50.08	PICO	Adult	20.24
151.68	137.91	PICO	Adult	12.1
253.07	80.67	PICO	Adult	4.96
282.64	179.98	PICO	Adult	24.11
170.89	261.49	PICO	Adult	26.27
158.89	215.25	PICO	Adult	3.8
196.07	147.61	PICO	Adult	1.06
163.57	180.46	PICO	Adult	5.92
96.41	145.78	PICO	Adult	2.19
51.69	126.11	PICO	Adult	19.26
287.5	84.96	PICO	Adult	13.84
227.32	219.27	PICO	Adult	16.2
72.2	187.24	PICO	Adult	18.96
61.29	212.1	PICO	Adult	1.33
198.15	135.74	PICO	Adult	3.98
60.73	245.97	PICO	Adult	47.53
217.17	54.53	PICO	Adult	63
179.91	49.07	PICO	Adult	5.77
26.8	233.84	PICO	Adult	6.05
122.23	222.04	PICO	Adult	9.95
22.32	270.45	PICO	Adult	5.23
214.3	254.73	PICO	Adult	2.66
185.78	245.48	PICO	Adult	41.34
15.94	205	PICO	Adult	15.55
86.2	102.49	PICO	Adult	7.73
55.96	231.04	PICO	Adult	10.98
191.26	187.55	PICO	Adult	6.09
250.52	292.24	PICO	Adult	1.28
218.04	298.93	PICO	Adult	12.17
221.79	9.51	PICO	Adult	9.72
24.82	241.8	PICO	Adult	3.77
76.62	172.41	PICO	Adult	34.65
74.5	277.04	PICO	Adult	18.34
264.27	135.47	PICO	Adult	8.59
147.99	293.66	PICO	Adult	16.43
143.97	245.18	PICO	Adult	33.22
290.2	281.17	PICO	Adult	24.55
36.01	242.44	PICO	Adult	16.13
144.84	62.21	PICO	Adult	1.84
46.68	131.58	PIJE	Adult	4.91
40.5	159.12	PIJE	Adult	5.93
126.73	160.66	PIJE	Adult	2.71
251.54	162.68	PIJE	Adult	4.91
297.08	184	PIJE	Adult	2.45
134.18	56.32	PIJE	Adult	9.61
187.09	59.54	PIJE	Adult	3.43
97.41	292.31	PIJE	Adult	6.88
270.89	69.97	PIJE	Adult	4.52
116.26	62.07	PIJE	Adult	12.37
101.79	171.21	PIJE	Adult	6.87
18.65	222.96	PIJE	Adult	7.06
204.05	15.83	PIJE	Adult	5.9
294.21	247.67	PIJE	Adult	3.36
210.95	224.11	PIJE	Adult	6.26
217.99	264.26	PIJE	Adult	3.64
50.58	225.21	PIJE	Adult	6.48
233.7	42.35	PIJE	Adult	14.59
34.18	171.2	PIJE	Adult	6.08
225.63	280.6	PIJE	Adult	2.67
