X	Y	Species	Type	Diam
65.23	178.45	ABMA	Adult	16
185.52	217.46	ABMA	Adult	9.54
212.01	219.48	ABMA	Adult	23.41
207.05	96.84	ABMA	Adult	77.2
126.65	164.64	ABMA	Adult	21.41
138.64	269.58	ABMA	Adult	5.4
224.4	210.39	ABMA	Adult	5.45
92.22	240.98	ABMA	Adult	15.95
90.12	268.35	ABMA	Adult	6.36
96.29	209.58	ABMA	Adult	1.75
52.36	244.62	ABMA	Adult	20.21
111.96	86.28	ABMA	Adult	11.24
210.38	157.17	ABMA	Adult	8.57
214.26	84.63	ABMA	Adult	5.36
120.25	283.87	ABMA	Adult	17.32
226.74	111.66	ABMA	Adult	2.72
78.75	189.92	ABMA	Adult	25.62
45.66	238.24	ABMA	Adult	25.4
162.31	147.94	ABMA	Adult	100.37
215.69	290.22	ABMA	Adult	5.72
182.34	54.72	ABMA	Adult	25.18
275.23	81.69	ABMA	Adult	8.28
109.22	287.49	ABMA	Adult	85.1
174.1	263.9	ABMA	Adult	214.71
64.55	101.75	ABMA	Adult	6.46
73.77	172.34	ABMA	Adult	7.65
264.8	166.72	ABMA	Adult	3.09
277.37	144.64	ABMA	Adult	39.83
141.71	52.67	ABMA	Adult	6.56
137.14	272.28	ABMA	Adult	17.8
7.41	140.81	ABMA	Adult	6.77
243.7	259.36	ABMA	Adult	4.41
189.98	298.12	ABMA	Adult	7.18
111.32	95.89	ABMA	Adult	10.09
219.01	107.15	ABMA	Adult	53.17
130.92	291.85	ABMA	Adult	18.81
235.44	295.68	ABMA	Adult	7.43
294.11	190.5	ABMA	Adult	15.73
77.33	134.39	ABMA	Adult	29.83
55.51	275.45	ABMA	Adult	7.88
59.83	143.68	ABMA	Adult	10.57
170.44	153.99	ABMA	Adult	7.94
232.28	297.81	ABMA	Adult	30.34
164.96	236.96	ABMA	Adult	5.56
201.41	279.04	ABMA	Adult	81.85
137.26	209.7	ABMA	Adult	4.41
106.64	243.91	ABMA	Adult	14.76
275.01	118.86	ABMA	Adult	3.37
57.55	234.9	ABMA	Adult	148
184.93	121.43	ABMA	Adult	3.51
196.4	96.55	ABMA	Adult	21.39
218	53.73	ABMA	Adult	4.08
173.8	260.7	ABMA	Adult	24.17
189.34	117.47	ABMA	Adult	4.64
286.95	94.03	ABMA	Adult	1.37
278.26	252.96	ABMA	Adult	8.33
250.62	73.57	ABMA	Adult	3.13
73.63	224.97	ABMA	Adult	7.5
4.29	233.59	ABMA	Adult	160.1
23.87	136.61	ABMA	Adult	7.53
267.08	106.25	ABMA	Adult	3.38
43.34	242.57	ABMA	Adult	5.5
210.36	23.09	ABMA	Adult	6.33
132.74	211.91	ABMA	Adult	1.59
246.53	31.68	ABMA	Adult	4.88
187.72	150.67	ABMA	Adult	1.99
245.72	9.32	ABMA	Adult	10.63
152.28	6.9	ABMA	Adult	13.97
163.44	268.14	ABMA	Adult	11.28
178.63	68.38	ABMA	Adult	2.44
75.96	213.05	ABMA	Adult	21.07
230.98	207.48	ABMA	Adult	11.83
224.49	234.79	ABMA	Adult	3.18
143.27	149.13	ABMA	Adult	8.39
28.96	118.37	ABMA	Adult	29.16
171.8	109.97	ABMA	Adult	10.81
254.73	169.7	ABMA	Adult	27.95
88.4	241.9	ABMA	Adult	1.04
293.16	32.59	ABMA	Adult	18.69
63.93	242.76	ABMA	Adult	1.9
264.75	81.11	ABMA	Adult	5.46
274.11	153.43	ABMA	Adult	13.56
64.76	153.61	ABMA	Adult	4.55
219.63	87.24	ABMA	Adult	2.84
99.01	248.33	ABMA	Adult	14.6
163.32	245.35	ABMA	Adult	26.69
283.54	184.88	ABMA	Adult	2.69
225.43	144.71	ABMA	Adult	1.75
119.43	89.14	ABMA	Adult	17.27
283.42	16.24	ABMA	Adult	32.92
203.65	168.42	ABMA	Adult	9.65
204.3	253.74	ABMA	Adult	15.68
103.62	75.18	ABMA	Adult	1.98
225.46	181.76	ABMA	Adult	4.62
295.48	22.19	ABMA	Adult	46.9
155.04	20.42	ABMA	Adult	9.25
112.46	212.05	ABMA	Adult	28.27
195.38	74.9	ABMA	Adult	21.48
231.32	190.18	ABMA	Adult	9.92
248.04	284.92	ABMA	Adult	14.03
150.29	20.71	ABMA	Adult	27.24
169.46	5.79	ABMA	Adult	15.51
33.56	185.68	ABMA	Adult	6.21
280.88	282.94	ABMA	Adult	4.98
277.56	281.2	ABMA	Adult	73.09
107.12	68.11	ABMA	Adult	86.61
123.73	13.57	ABMA	Adult	5.08
267.88	246.05	ABMA	Adult	5.04
211.88	295.1	ABMA	Adult	53.78
178.15	231.66	ABMA	Adult	29.54
144.8	73.43	ABMA	Adult	3.11
