X	Y	Species	Type	Diam
253.04	8.12	ABMA	Adult	0.73
157.56	239.71	ABMA	Adult	0.63
162.95	90.41	ABMA	Adult	5
119.27	165.49	ABMA	Adult	10
149.78	217.97	ABMA	Adult	5.41
197.56	293.56	ABMA	Adult	1.89
151.8	222.24	ABMA	Adult	11.37
280.58	127.22	ABMA	Adult	51.05
191.99	207.16	ABMA	Adult	8.71
256.39	296.2	ABMA	Adult	2.71
91.47	206.69	ABMA	Adult	1.93
29.59	141.13	ABMA	Adult	1.62
189.02	31.31	ABMA	Adult	1.64
60.13	154.03	ABMA	Adult	0.87
133.99	38.86	ABMA	Adult	8.62
204.04	145.42	ABMA	Adult	10.05
131.23	105.81	ABMA	Adult	3.95
277.71	37.87	ABMA	Adult	1.31
282.36	16.42	ABMA	Adult	7.05
273.79	103.32	ABMA	Adult	5.66
173.41	53.8	ABMA	Adult	2.81
229.05	144.96	ABMA	Adult	3.71
13.77	265.65	ABMA	Adult	1.66
87.01	103.05	ABMA	Adult	12.28
167.9	20.46	ABMA	Adult	0.54
46.64	118.79	ABMA	Adult	2.82
155.23	114.74	ABMA	Adult	35.65
284.45	45.24	ABMA	Adult	2.27
116.01	25.61	ABMA	Adult	28.13
104.9	111.02	ABMA	Adult	2.56
266.55	68.21	ABMA	Adult	6.41
72.6	120.25	ABMA	Adult	4.08
239.41	66.77	ABMA	Adult	3.3
163.54	266.95	ABMA	Adult	8.93
158.22	7.22	ABMA	Adult	29.87
75.23	283.55	ABMA	Adult	10.79
36.63	244.65	ABMA	Adult	4.22
174.02	254.92	ABMA	Adult	11.22
127.06	27.86	ABMA	Adult	7.69
9.03	173.05	ABMA	Adult	5.2
223.21	248.36	ABMA	Adult	7.31
65.93	275.5	ABMA	Adult	65.38
72.06	202.17	ABMA	Adult	4.91
171.44	134.67	ABMA	Adult	2.37
118.6	204.63	ABMA	Adult	8.51
82.77	143.97	ABMA	Adult	4.6
142.71	74.73	ABMA	Adult	1.01
113.51	101.47	ABMA	Adult	1.41
36.11	240.2	ABMA	Adult	43.68
168.52	132.13	ABMA	Adult	29.35
247.56	80.01	ABMA	Adult	2.57
293.89	25.66	ABMA	Adult	4.55
111.83	138.95	ABMA	Adult	8.21
225.64	146.92	ABMA	Adult	7.99
119.72	156.58	ABMA	Adult	11.21
286.87	99.11	ABMA	Adult	3.6
10.88	149.38	ABMA	Adult	3.22
223.67	284.79	ABMA	Adult	65.07
247.3	216.41	ABMA	Adult	0.65
291.69	78.79	ABMA	Adult	106.05
124.24	274.17	ABMA	Adult	3.28
11.26	227.06	ABMA	Adult	16.14
93.15	199.74	ABMA	Adult	6.02
51.94	293.17	ABMA	Adult	2.71
33.16	118.95	ABMA	Adult	25.03
187.96	242.61	ABMA	Adult	1.67
96.53	279.63	ABMA	Adult	28.5
208.44	228.64	ABMA	Adult	6.25
64.02	124.76	ABMA	Adult	10.09
281.65	88.22	ABMA	Adult	37.12
249.7	61.49	ABMA	Adult	3.22
72.81	246.62	ABMA	Adult	1.51
266.52	136.53	ABMA	Adult	12.49
118.97	231.76	ABMA	Adult	28.01
234.09	274.44	ABMA	Adult	13.17
138.29	102.16	ABMA	Adult	9.62
268.88	263.02	ABMA	Adult	8.47
201.71	251.25	ABMA	Adult	12.88
27.58	129.53	ABMA	Adult	12.95
1.91	115.76	ABMA	Adult	3.9
141.08	261.85	ABMA	Adult	3.65
83.17	191.7	ABMA	Adult	0.85
4.79	257.51	ABMA	Adult	2.8
299.09	186.64	ABMA	Adult	7.27
53.25	148.8	ABMA	Adult	5.37
103.57	3.12	ABMA	Adult	7.82
15.47	175.74	ABMA	Adult	59.26
137.44	283.2	ABMA	Adult	10.92
115.48	114.7	ABMA	Adult	14.99
277.87	78.65	ABMA	Adult	4.02
118.5	5.4	ABMA	Adult	142.26
289.34	139.41	ABMA	Adult	1.25
129.84	258.08	ABMA	Adult	1.81
272.15	293.81	ABMA	Adult	6.71
268.29	283.25	ABMA	Adult	14.95
59.96	288.43	ABMA	Adult	4.94
76.78	123.09	ABMA	Adult	2.09
164.14	152.9	ABMA	Adult	20.49
177.25	2.79	ABMA	Adult	1.64
231.31	89.83	ABMA	Adult	8.67
298.35	270.88	ABMA	Adult	13.43
174.88	76.18	ABMA	Adult	3.82
249.35	220.77	ABMA	Adult	6.33
236.92	121.01	ABMA	Adult	3.78
160.15	121.01	ABMA	Adult	3.62
282.67	160.34	ABMA	Adult	8.59
291.06	262.72	ABMA	Adult	1.93
265.49	82.15	ABMA	Adult	1.11
142.72	140.87	ABMA	Adult	21.77
211.55	97.23	ABMA	Adult	142.09
245.67	74.71	ABMA	Adult	12.75
198.63	212.16	ABMA	Adult	5.12
38.48	103.23	ABMA	Adult	0.86
100.59	9.25	ABMA	Adult	2.03
225.23	152.36	ABMA	Adult	1.47
242.27	59.67	ABMA	Adult	64.57
152.03	2.12	ABMA	Adult	6.43
285.44	79.11	ABMA	Adult	51.04
95.54	274.96	ABMA	Adult	2.42
13.94	282.57	ABMA	Adult	15.49
151.51	215.41	ABMA	Adult	14.67
280.22	297.94	ABMA	Adult	1.43
262.08	264.62	ABMA	Adult	7.58
256.64	86.62	ABMA	Adult	13.18
256.96	56.1	ABMA	Adult	11.82
107.19	26.97	ABMA	Adult	1.53
20.43	103.37	ABMA	Adult	80.84
45.35	255.34	ABMA	Adult	2.28
82.17	168.84	ABMA	Adult	15.59
224.39	61.79	ABMA	Adult	84.67
74.46	160.02	ABMA	Adult	0.3
112.97	13.48	ABMA	Adult	6.42
87.54	240.37	ABMA	Adult	7.18
284.23	61.55	ABMA	Adult	0.87
276.14	264.16	ABMA	Adult	13.33
234.92	41.14	ABMA	Adult	7.38
256.72	206.52	ABMA	Adult	7.11
299.13	11.58	ABMA	Adult	2.12
216.52	193.91	ABMA	Adult	23.53
73.22	120.97	ABMA	Adult	12.55
273.88	242.89	ABMA	Adult	10.73
156.28	242.12	ABMA	Adult	174.94
228.3	182.99	ABMA	Adult	8.24
92.59	123.86	ABMA	Adult	0.39
184.85	111.39	ABMA	Adult	11.68
296.52	267.35	ABMA	Adult	1.29
19.8	123.47	ABMA	Adult	8.41
182.78	54.2	ABMA	Adult	41.2
38.87	154.5	ABMA	Adult	3.55
290.65	180.83	ABMA	Adult	22.64
199.58	17.37	ABMA	Adult	2.42
109.22	9.24	ABMA	Adult	9.45
136.68	107.87	ABMA	Adult	5.62
36.31	150.35	ABMA	Adult	15.77
160.57	179.61	ABMA	Adult	2.66
230.92	217.43	ABMA	Adult	2.09
185.58	129.98	ABMA	Adult	4.85
169.58	165.94	ABMA	Adult	4.28
73.79	246.87	ABMA	Adult	1.19
243.95	66.61	ABMA	Adult	4.47
115.12	168.49	ABMA	Adult	0.57
294.55	226.95	ABMA	Adult	2.68
287.31	105.87	ABMA	Adult	0.87
165.2	209.04	ABMA	Adult	21.24
127.95	22.37	ABMA	Adult	7.71
234.32	170.23	ABMA	Adult	3.78
61.8	222.47	ABMA	Adult	4.07
136.87	41.17	ABMA	Adult	1.44
257.36	167.06	ABMA	Adult	5.11
37.35	150.02	ABMA	Adult	226.23
262.26	154.69	ABMA	Adult	3.8
78.91	106.25	ABMA	Adult	2.52
153.61	79.56	ABMA	Adult	4.29
83.13	273.85	ABMA	Adult	5.26
172.79	87.18	ABMA	Adult	3.13
96.07	164.34	ABMA	Adult	36.56
169.41	271.02	ABMA	Adult	0.71
245.52	4.78	ABMA	Adult	4.21
181.41	35.07	ABMA	Adult	43.59
226.92	62.72	ABMA	Adult	43.7
236.31	287.76	ABMA	Adult	3.87
123.98	195.68	ABMA	Adult	23.72
33.02	274.83	ABMA	Adult	22.53
149.69	230.52	ABMA	Adult	0.42
51.46	171.07	ABMA	Adult	4.26
200.59	98.97	ABMA	Adult	11.97
40.59	267.02	ABMA	Adult	1.96
134.25	61.22	ABMA	Adult	5.01
182.01	134.62	ABMA	Adult	21.1
182.59	80	ABMA	Adult	2.18
118.59	147	ABMA	Adult	1.22
261.65	43.07	ABMA	Adult	77.76
285.99	291.03	ABMA	Adult	1.87
190.69	261.6	ABMA	Adult	20.35
