X	Y	Species	Type	Diam
259.13	3.53	ABCO	Adult	6.4
254	249.73	ABCO	Adult	14.1
123.87	145.02	ABCO	Adult	42.3
49.9	199.6	ABCO	Adult	0.71
297.38	106.4	ABCO	Adult	4.54
246.66	37.24	ABCO	Adult	9.86
180.51	74.98	ABCO	Adult	1.94
138.67	291.56	ABCO	Adult	3.02
197.21	161.43	ABCO	Adult	4.45
14.55	255.64	ABCO	Adult	4.14
96.11	286.47	ABCO	Adult	0.24
56.35	194.66	ABCO	Adult	5
130.16	60.93	ABCO	Adult	3.91
127.77	180.41	ABCO	Adult	6.21
170.02	118.15	ABCO	Adult	7.31
140.15	192	ABCO	Adult	1.64
260.72	263.98	ABCO	Adult	4.81
293.42	70.87	ABCO	Adult	2.28
228.84	272.46	ABCO	Adult	4.95
154.7	189.56	ABCO	Adult	5.05
28.78	93.74	ABCO	Adult	1.48
203.51	185.44	ABCO	Adult	0.54
269.06	38.71	ABCO	Adult	1.26
246.58	97.13	ABCO	Adult	5.98
100.49	72.8	ABCO	Adult	10.35
216.06	180.05	ABCO	Adult	12.32
164.41	87.36	ABCO	Adult	2.61
111.58	295.23	ABCO	Adult	4.92
49.38	126.99	ABCO	Adult	1.63
253.47	276.46	ABCO	Adult	2.92
193.29	202.75	ABCO	Adult	1.94
37.23	144.85	ABCO	Adult	12.27
49.38	113.4	ABCO	Adult	7.7
229.71	94.11	ABCO	Adult	2.7
218.91	180.34	ABCO	Adult	16.82
225.32	270.79	ABCO	Adult	3.83
178.32	264	ABCO	Adult	5.74
169.16	81.59	ABCO	Adult	8.38
111.26	273.83	ABCO	Adult	3.72
215.66	218.93	ABCO	Adult	1.43
52.99	201.21	ABCO	Adult	6.15
72.12	148.79	ABCO	Adult	11.61
278.91	163.29	ABCO	Adult	4.32
46.69	200.22	ABCO	Adult	4.2
256.85	22.31	ABCO	Adult	5.36
96.3	87.8	ABCO	Adult	2.44
214.97	105.08	ABCO	Adult	4.45
43.63	289.39	ABCO	Adult	6.85
41.1	215.91	ABCO	Adult	1.82
152.98	122.2	ABCO	Adult	4.6
176.37	214.16	ABCO	Adult	0.48
112.3	134.42	ABCO	Adult	3.37
239.13	93.16	ABCO	Adult	17.73
238.92	84.46	ABCO	Adult	2.53
15.45	136.14	ABCO	Adult	1.58
104.44	85.94	ABCO	Adult	3.73
146.08	250.24	ABCO	Adult	5.66
101.18	128.23	ABCO	Adult	2.05
167.87	71.62	ABCO	Adult	18.46
71.91	183.01	ABCO	Adult	32.22
41.77	163.28	ABCO	Adult	13.06
61.76	116.88	ABCO	Adult	29.21
96.77	294.37	ABCO	Adult	26.24
257.73	26.82	ABCO	Adult	20.69
118.87	133.04	ABCO	Adult	3.93
268.14	271.05	ABCO	Adult	48.04
293.29	169.59	ABCO	Adult	3.67
221.75	72.87	ABCO	Adult	6.42
216.16	104.34	ABCO	Adult	4.23
134.22	140.94	ABCO	Adult	6.66
289.49	157.09	ABCO	Adult	2.43
56.26	262.67	ABCO	Adult	10.14
10.6	70.21	ABCO	Adult	32.35
33.35	111.59	ABCO	Adult	1.77
162.2	74.88	ABCO	Adult	6.4
253.13	277.62	ABCO	Adult	23.96
272.18	203.64	ABCO	Adult	12.12
246.57	118.82	ABCO	Adult	46.01
171.58	158.59	ABCO	Adult	15.34
58.46	290.12	ABCO	Adult	4.41
31.01	279.71	ABCO	Adult	10
