Tree map for parameter file C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\093015-runs\093015-BBBPIPO-Fin.xml
Species	Type	X	Y	Height	Diam10	Light	Growth	DBH	Crown Radius	Crown Depth	dead
ABCO	Adult	166.53	126.5	--	--	--	--	10.21	--	--	--
ABCO	Adult	78.04	209.78	--	--	--	--	75.17	--	--	--
ABCO	Adult	208.46	11.96	--	--	--	--	5.04	--	--	--
ABCO	Adult	218.25	47.04	--	--	--	--	7.86	--	--	--
ABCO	Adult	93.99	292.61	--	--	--	--	6.56	--	--	--
ABCO	Adult	272.15	98.3	--	--	--	--	68.33	--	--	--
ABCO	Adult	129.75	39.86	--	--	--	--	48.83	--	--	--
ABCO	Adult	75.51	195.15	--	--	--	--	5.11	--	--	--
ABCO	Adult	191.08	174.59	--	--	--	--	62.69	--	--	--
ABCO	Adult	231.54	115.36	--	--	--	--	13.28	--	--	--
ABCO	Adult	265.7	32.83	--	--	--	--	2.97	--	--	--
ABCO	Adult	186.07	220.35	--	--	--	--	61.41	--	--	--
ABCO	Adult	197.57	45.38	--	--	--	--	5.07	--	--	--
ABCO	Adult	143.59	37.48	--	--	--	--	18.76	--	--	--
ABCO	Adult	240.93	206.38	--	--	--	--	10.96	--	--	--
ABCO	Adult	159.46	122.65	--	--	--	--	10.94	--	--	--
ABCO	Adult	123.72	194.24	--	--	--	--	46.24	--	--	--
ABCO	Adult	80.73	130.33	--	--	--	--	12.02	--	--	--
ABCO	Adult	173.39	21.83	--	--	--	--	5.62	--	--	--
ABCO	Adult	0.67	225.57	--	--	--	--	26.35	--	--	--
ABCO	Adult	217.86	5.38	--	--	--	--	1.8	--	--	--
ABCO	Adult	156.87	64.48	--	--	--	--	8.2	--	--	--
ABCO	Adult	19.0	262.93	--	--	--	--	31.4	--	--	--
ABCO	Adult	125.77	22.6	--	--	--	--	10.11	--	--	--
ABCO	Adult	151.69	22.69	--	--	--	--	36.49	--	--	--
ABCO	Adult	127.56	233.48	--	--	--	--	26.52	--	--	--
ABCO	Adult	281.81	138.81	--	--	--	--	27.33	--	--	--
ABCO	Adult	81.23	101.5	--	--	--	--	24.39	--	--	--
ABCO	Adult	93.94	187.17	--	--	--	--	2.96	--	--	--
ABCO	Adult	258.46	183.99	--	--	--	--	141.99	--	--	--
ABCO	Adult	141.31	79.89	--	--	--	--	8.47	--	--	--
ABCO	Adult	11.66	296.51	--	--	--	--	6.99	--	--	--
