Tree map for parameter file C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\093015-runs\093015-FRPIJE.xml
Species	Type	X	Y	Height	Diam10	Light	Growth	DBH	Crown Radius	Crown Depth	dead
ABCO	Adult	248.64	190.11	--	--	--	--	35.67	--	--	--
ABCO	Adult	88.28	275.34	--	--	--	--	13.55	--	--	--
ABCO	Adult	155.03	203.33	--	--	--	--	10.84	--	--	--
ABCO	Adult	277.53	156.66	--	--	--	--	49.79	--	--	--
ABCO	Adult	130.75	149.56	--	--	--	--	9.12	--	--	--
ABCO	Adult	182.31	194.42	--	--	--	--	9.96	--	--	--
ABCO	Adult	3.81	136.31	--	--	--	--	31.74	--	--	--
ABCO	Adult	267.69	93.96	--	--	--	--	0.9	--	--	--
ABCO	Adult	203.51	209.58	--	--	--	--	6.32	--	--	--
ABCO	Adult	269.16	48.77	--	--	--	--	49.32	--	--	--
ABCO	Adult	48.34	153.51	--	--	--	--	12.56	--	--	--
ABCO	Adult	39.6	297.61	--	--	--	--	17.41	--	--	--
ABCO	Adult	286.07	202.01	--	--	--	--	8.05	--	--	--
ABCO	Adult	132.59	267.79	--	--	--	--	24.41	--	--	--
ABCO	Adult	121.63	280.75	--	--	--	--	5.64	--	--	--
ABCO	Adult	216.38	157.91	--	--	--	--	8.01	--	--	--
ABCO	Adult	118.05	113.64	--	--	--	--	18.89	--	--	--
ABCO	Adult	40.92	287.16	--	--	--	--	31.51	--	--	--
ABCO	Adult	286.51	297.97	--	--	--	--	15.97	--	--	--
ABCO	Adult	91.23	218.06	--	--	--	--	101.11	--	--	--
ABCO	Adult	179.17	236.4	--	--	--	--	3.9	--	--	--
ABCO	Adult	29.11	229.73	--	--	--	--	25.2	--	--	--
ABCO	Adult	273.84	125.89	--	--	--	--	9.86	--	--	--
ABCO	Adult	49.24	265.05	--	--	--	--	37.17	--	--	--
ABCO	Adult	217.71	132.51	--	--	--	--	94.18	--	--	--
ABCO	Adult	288.98	285.97	--	--	--	--	19.75	--	--	--
ABCO	Adult	227.24	38.7	--	--	--	--	9.68	--	--	--
ABCO	Adult	127.52	246.07	--	--	--	--	306.41	--	--	--
ABCO	Adult	37.03	249.39	--	--	--	--	35.51	--	--	--
ABCO	Adult	262.08	58.43	--	--	--	--	63.71	--	--	--
ABCO	Adult	96.74	157.34	--	--	--	--	7.43	--	--	--
ABCO	Adult	235.99	224.1	--	--	--	--	2.28	--	--	--
ABCO	Adult	273.32	33.94	--	--	--	--	22.68	--	--	--
ABCO	Adult	233.61	217.95	--	--	--	--	6.47	--	--	--
ABCO	Adult	57.76	193.79	--	--	--	--	24.16	--	--	--
ABCO	Adult	214.87	92.26	--	--	--	--	44.12	--	--	--
ABCO	Adult	282.25	211.9	--	--	--	--	29.95	--	--	--
ABCO	Adult	76.88	245.58	--	--	--	--	117.4	--	--	--
ABCO	Adult	283.54	37.59	--	--	--	--	83.75	--	--	--
ABCO	Adult	65.62	117.75	--	--	--	--	56.49	--	--	--
ABCO	Adult	206.36	299.3	--	--	--	--	36.22	--	--	--
ABCO	Adult	26.14	119.2	--	--	--	--	1.3	--	--	--
ABCO	Adult	298.58	78.57	--	--	--	--	7.45	--	--	--
ABCO	Adult	60.18	251.34	--	--	--	--	85.05	--	--	--
ABCO	Adult	225.55	229.73	--	--	--	--	21.69	--	--	--
ABCO	Adult	206.27	164.72	--	--	--	--	9.16	--	--	--
ABCO	Adult	221.67	118.63	--	--	--	--	4.59	--	--	--
ABCO	Adult	221.74	111.61	--	--	--	--	34.93	--	--	--
ABCO	Adult	122.66	166.63	--	--	--	--	67.43	--	--	--
ABCO	Adult	260.06	211.32	--	--	--	--	13.27	--	--	--
ABCO	Adult	228.75	23.89	--	--	--	--	3.41	--	--	--
ABCO	Adult	143.01	141.51	--	--	--	--	65.57	--	--	--
ABCO	Adult	242.18	292.77	--	--	--	--	7.2	--	--	--
ABCO	Adult	32.33	277.44	--	--	--	--	14.19	--	--	--
ABCO	Adult	118.77	297.99	--	--	--	--	5.11	--	--	--
ABCO	Adult	78.67	265.3	--	--	--	--	25.57	--	--	--
ABCO	Adult	136.14	257.91	--	--	--	--	39.85	--	--	--
ABCO	Adult	289.46	183.92	--	--	--	--	675.41	--	--	--
ABCO	Adult	230.54	160.58	--	--	--	--	8.61	--	--	--
ABCO	Adult	112.62	145.02	--	--	--	--	41.92	--	--	--
ABCO	Adult	106.05	150.44	--	--	--	--	36.2	--	--	--
ABCO	Adult	226.54	289.15	--	--	--	--	399.11	--	--	--
ABCO	Adult	19.77	168.6	--	--	--	--	2.55	--	--	--
ABCO	Adult	159.26	258.38	--	--	--	--	12.39	--	--	--
ABCO	Adult	206.19	21.37	--	--	--	--	1.93	--	--	--
ABCO	Adult	195.02	73.34	--	--	--	--	8.93	--	--	--
ABCO	Adult	293.33	269.63	--	--	--	--	0.75	--	--	--
ABCO	Adult	103.43	114.52	--	--	--	--	83.45	--	--	--
ABCO	Adult	195.81	236.36	--	--	--	--	4.85	--	--	--
ABCO	Adult	49.74	128.91	--	--	--	--	13.35	--	--	--
ABCO	Adult	273.3	49.54	--	--	--	--	8.41	--	--	--
ABCO	Adult	244.8	108.64	--	--	--	--	5.36	--	--	--
ABCO	Adult	100.12	196.7	--	--	--	--	39.96	--	--	--
ABCO	Adult	291.32	211.24	--	--	--	--	4.1	--	--	--
ABCO	Adult	114.69	64.2	--	--	--	--	30.23	--	--	--
ABCO	Adult	134.09	237.65	--	--	--	--	187.17	--	--	--
ABCO	Adult	19.92	192.98	--	--	--	--	3.02	--	--	--
ABCO	Adult	168.02	150.0	--	--	--	--	3.44	--	--	--
ABCO	Adult	279.59	27.16	--	--	--	--	27.74	--	--	--
ABCO	Adult	292.57	211.25	--	--	--	--	16.76	--	--	--
ABCO	Adult	55.04	80.6	--	--	--	--	6.52	--	--	--
ABCO	Adult	242.73	103.71	--	--	--	--	2.62	--	--	--
ABCO	Adult	79.71	177.84	--	--	--	--	5.64	--	--	--
ABCO	Adult	99.6	242.11	--	--	--	--	14.1	--	--	--
ABCO	Adult	179.66	112.58	--	--	--	--	3.28	--	--	--
ABCO	Adult	237.51	57.47	--	--	--	--	1.53	--	--	--
ABCO	Adult	190.77	82.98	--	--	--	--	75.29	--	--	--
ABCO	Adult	74.38	238.7	--	--	--	--	133.4	--	--	--
ABCO	Adult	185.25	92.89	--	--	--	--	29.36	--	--	--
ABCO	Adult	158.15	256.97	--	--	--	--	29.84	--	--	--
ABCO	Adult	281.73	187.68	--	--	--	--	1.0	--	--	--
ABCO	Adult	243.84	139.18	--	--	--	--	45.35	--	--	--
ABCO	Adult	267.56	283.67	--	--	--	--	5.24	--	--	--
ABCO	Adult	22.08	215.59	--	--	--	--	3.82	--	--	--
