Tree map for parameter file C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\093015-runs\093015-POFLABMA.xml
Species	Type	X	Y	Height	Diam10	Light	Growth	DBH	Crown Radius	Crown Depth	dead
ABMA	Adult	22.86	184.82	--	--	--	--	3.77	--	--	--
ABMA	Adult	192.74	147.43	--	--	--	--	26.12	--	--	--
ABMA	Adult	187.67	269.04	--	--	--	--	17.75	--	--	--
ABMA	Adult	176.7	217.88	--	--	--	--	14.99	--	--	--
ABMA	Adult	20.34	289.12	--	--	--	--	7.6	--	--	--
ABMA	Adult	102.07	281.43	--	--	--	--	22.66	--	--	--
ABMA	Adult	236.25	117.96	--	--	--	--	4.83	--	--	--
ABMA	Adult	70.61	101.54	--	--	--	--	3.83	--	--	--
ABMA	Adult	140.31	31.1	--	--	--	--	18.88	--	--	--
ABMA	Adult	48.16	218.66	--	--	--	--	0.54	--	--	--
ABMA	Adult	16.73	265.68	--	--	--	--	23.05	--	--	--
ABMA	Adult	288.94	298.03	--	--	--	--	0.69	--	--	--
ABMA	Adult	135.71	260.13	--	--	--	--	11.42	--	--	--
ABMA	Adult	293.87	124.32	--	--	--	--	5.56	--	--	--
ABMA	Adult	55.67	268.08	--	--	--	--	138.43	--	--	--
ABMA	Adult	245.01	48.85	--	--	--	--	3.01	--	--	--
ABMA	Adult	169.19	14.03	--	--	--	--	2.11	--	--	--
ABMA	Adult	167.17	144.84	--	--	--	--	149.92	--	--	--
ABMA	Adult	230.37	224.35	--	--	--	--	187.02	--	--	--
ABMA	Adult	199.61	51.16	--	--	--	--	32.58	--	--	--
ABMA	Adult	288.1	177.88	--	--	--	--	4.22	--	--	--
ABMA	Adult	227.02	76.91	--	--	--	--	4.07	--	--	--
ABMA	Adult	131.27	273.63	--	--	--	--	9.77	--	--	--
ABMA	Adult	72.0	169.32	--	--	--	--	20.22	--	--	--
ABMA	Adult	36.85	111.1	--	--	--	--	4.78	--	--	--
ABMA	Adult	41.54	276.47	--	--	--	--	0.46	--	--	--
ABMA	Adult	188.88	4.98	--	--	--	--	7.87	--	--	--
ABMA	Adult	114.82	271.9	--	--	--	--	3.92	--	--	--
ABMA	Adult	294.94	55.94	--	--	--	--	0.48	--	--	--
ABMA	Adult	157.2	33.62	--	--	--	--	9.94	--	--	--
ABMA	Adult	114.51	35.32	--	--	--	--	1.17	--	--	--
ABMA	Adult	168.81	83.89	--	--	--	--	17.44	--	--	--
ABMA	Adult	289.84	214.32	--	--	--	--	2.88	--	--	--
ABMA	Adult	277.87	79.18	--	--	--	--	438.25	--	--	--
ABMA	Adult	287.9	71.55	--	--	--	--	38.31	--	--	--
ABMA	Adult	135.82	264.85	--	--	--	--	93.23	--	--	--
ABMA	Adult	70.49	156.49	--	--	--	--	61.87	--	--	--
ABMA	Adult	186.96	202.63	--	--	--	--	23.7	--	--	--
ABMA	Adult	289.22	285.23	--	--	--	--	9.51	--	--	--
ABMA	Adult	169.32	253.14	--	--	--	--	3.88	--	--	--
ABMA	Adult	161.06	41.66	--	--	--	--	93.32	--	--	--
ABMA	Adult	266.24	87.03	--	--	--	--	12.86	--	--	--
ABMA	Adult	217.77	201.4	--	--	--	--	89.38	--	--	--
ABMA	Adult	134.39	254.79	--	--	--	--	48.97	--	--	--
ABMA	Adult	274.72	66.66	--	--	--	--	45.52	--	--	--
ABMA	Adult	290.25	104.7	--	--	--	--	11.87	--	--	--
ABMA	Adult	274.3	188.07	--	--	--	--	79.8	--	--	--
ABMA	Adult	159.82	233.16	--	--	--	--	24.26	--	--	--
ABMA	Adult	8.51	217.15	--	--	--	--	5.51	--	--	--
ABMA	Adult	232.88	86.35	--	--	--	--	33.85	--	--	--
ABMA	Adult	285.5	287.49	--	--	--	--	12.09	--	--	--
ABMA	Adult	160.8	67.8	--	--	--	--	27.55	--	--	--
ABMA	Adult	213.35	246.67	--	--	--	--	81.86	--	--	--
ABMA	Adult	113.96	103.37	--	--	--	--	23.34	--	--	--
ABMA	Adult	117.35	81.55	--	--	--	--	9.22	--	--	--
ABMA	Adult	90.37	174.32	--	--	--	--	5.63	--	--	--
ABMA	Adult	294.98	295.71	--	--	--	--	13.03	--	--	--
ABMA	Adult	64.11	104.65	--	--	--	--	13.98	--	--	--
ABMA	Adult	129.23	82.22	--	--	--	--	32.26	--	--	--
ABMA	Adult	33.85	271.58	--	--	--	--	15.01	--	--	--
ABMA	Adult	102.72	265.71	--	--	--	--	16.59	--	--	--
ABMA	Adult	118.56	10.04	--	--	--	--	21.23	--	--	--
ABMA	Adult	151.41	225.39	--	--	--	--	7.46	--	--	--
ABMA	Adult	232.15	31.26	--	--	--	--	2.04	--	--	--
ABMA	Adult	64.83	113.47	--	--	--	--	46.25	--	--	--
ABMA	Adult	288.42	171.69	--	--	--	--	33.63	--	--	--
ABMA	Adult	77.55	127.92	--	--	--	--	18.75	--	--	--
ABMA	Adult	200.08	93.64	--	--	--	--	18.77	--	--	--
ABMA	Adult	258.91	99.1	--	--	--	--	5.52	--	--	--
ABMA	Adult	173.31	205.99	--	--	--	--	0.21	--	--	--
ABMA	Adult	92.42	179.75	--	--	--	--	61.26	--	--	--
ABMA	Adult	220.99	128.8	--	--	--	--	5.61	--	--	--
ABMA	Adult	221.35	24.74	--	--	--	--	38.75	--	--	--
ABMA	Adult	285.58	124.54	--	--	--	--	2.93	--	--	--
ABMA	Adult	269.32	95.98	--	--	--	--	7.18	--	--	--
ABMA	Adult	243.06	264.5	--	--	--	--	45.27	--	--	--
ABMA	Adult	244.3	15.03	--	--	--	--	1.68	--	--	--
ABMA	Adult	78.31	144.06	--	--	--	--	106.09	--	--	--
ABMA	Adult	267.5	64.14	--	--	--	--	0.93	--	--	--
ABMA	Adult	222.09	141.18	--	--	--	--	17.19	--	--	--
ABMA	Adult	109.79	257.15	--	--	--	--	10.0	--	--	--
ABMA	Adult	64.05	219.21	--	--	--	--	0.59	--	--	--
ABMA	Adult	185.22	161.33	--	--	--	--	1.92	--	--	--
ABMA	Adult	190.01	157.34	--	--	--	--	37.31	--	--	--
ABMA	Adult	217.0	147.06	--	--	--	--	66.96	--	--	--
ABMA	Adult	256.02	189.74	--	--	--	--	4.7	--	--	--
ABMA	Adult	138.31	27.4	--	--	--	--	19.41	--	--	--
ABMA	Adult	290.77	109.26	--	--	--	--	11.32	--	--	--
ABMA	Adult	248.03	127.49	--	--	--	--	13.81	--	--	--
ABMA	Adult	233.58	206.72	--	--	--	--	1.71	--	--	--
ABMA	Adult	273.37	254.65	--	--	--	--	50.55	--	--	--
ABMA	Adult	87.47	101.48	--	--	--	--	43.53	--	--	--
ABMA	Adult	194.25	221.95	--	--	--	--	13.67	--	--	--
ABMA	Adult	283.39	270.43	--	--	--	--	129.1	--	--	--
ABMA	Adult	297.57	211.73	--	--	--	--	7.68	--	--	--
ABMA	Adult	265.09	250.27	--	--	--	--	15.91	--	--	--
ABMA	Adult	247.91	123.7	--	--	--	--	11.75	--	--	--
ABMA	Adult	213.7	85.57	--	--	--	--	5.24	--	--	--
ABMA	Adult	42.93	177.15	--	--	--	--	16.22	--	--	--
ABMA	Adult	185.94	182.95	--	--	--	--	1.04	--	--	--
ABMA	Adult	298.95	11.17	--	--	--	--	92.34	--	--	--
ABMA	Adult	213.92	180.74	--	--	--	--	1.24	--	--	--
ABMA	Adult	173.21	228.45	--	--	--	--	0.54	--	--	--
ABMA	Adult	161.74	27.25	--	--	--	--	2.48	--	--	--
ABMA	Adult	29.23	151.23	--	--	--	--	45.91	--	--	--
ABMA	Adult	7.91	245.3	--	--	--	--	0.41	--	--	--
ABMA	Adult	232.13	275.24	--	--	--	--	0.3	--	--	--
ABMA	Adult	160.94	106.52	--	--	--	--	15.5	--	--	--
ABMA	Adult	289.56	142.42	--	--	--	--	6.79	--	--	--
ABMA	Adult	281.64	282.99	--	--	--	--	19.74	--	--	--
ABMA	Adult	286.37	290.5	--	--	--	--	11.27	--	--	--
ABMA	Adult	162.12	70.09	--	--	--	--	0.54	--	--	--
ABMA	Adult	86.98	268.96	--	--	--	--	24.83	--	--	--
ABMA	Adult	186.14	80.83	--	--	--	--	71.05	--	--	--
ABMA	Adult	39.22	169.29	--	--	--	--	351.39	--	--	--
ABMA	Adult	236.9	268.13	--	--	--	--	29.56	--	--	--
