Tree map for parameter file C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\093015-runs\093015-SFTRABMA.xml
Species	Type	X	Y	Height	Diam10	Light	Growth	DBH	Crown Radius	Crown Depth	dead
ABMA	Adult	96.56	253.99	--	--	--	--	1.51	--	--	--
ABMA	Adult	27.12	172.79	--	--	--	--	0.17	--	--	--
ABMA	Adult	138.66	13.01	--	--	--	--	0.33	--	--	--
ABMA	Adult	8.1	229.33	--	--	--	--	3.83	--	--	--
ABMA	Adult	238.31	260.58	--	--	--	--	0.93	--	--	--
ABMA	Adult	177.84	17.5	--	--	--	--	4.19	--	--	--
ABMA	Adult	159.42	250.61	--	--	--	--	3.22	--	--	--
ABMA	Adult	62.08	156.71	--	--	--	--	6.89	--	--	--
ABMA	Adult	193.38	196.66	--	--	--	--	11.38	--	--	--
ABMA	Adult	268.63	172.0	--	--	--	--	17.77	--	--	--
ABMA	Adult	5.2	276.24	--	--	--	--	1.69	--	--	--
ABMA	Adult	259.48	201.66	--	--	--	--	25.78	--	--	--
ABMA	Adult	10.23	126.55	--	--	--	--	4.39	--	--	--
ABMA	Adult	97.04	246.07	--	--	--	--	1.05	--	--	--
ABMA	Adult	276.75	131.61	--	--	--	--	32.91	--	--	--
ABMA	Adult	238.61	116.14	--	--	--	--	0.86	--	--	--
ABMA	Adult	246.19	184.1	--	--	--	--	0.75	--	--	--
ABMA	Adult	90.69	289.67	--	--	--	--	29.12	--	--	--
ABMA	Adult	147.29	50.14	--	--	--	--	7.21	--	--	--
ABMA	Adult	188.02	106.2	--	--	--	--	21.26	--	--	--
ABMA	Adult	268.05	87.62	--	--	--	--	1.16	--	--	--
ABMA	Adult	132.71	184.62	--	--	--	--	1.33	--	--	--
ABMA	Adult	130.39	221.97	--	--	--	--	6.57	--	--	--
ABMA	Adult	121.03	166.34	--	--	--	--	2.34	--	--	--
ABMA	Adult	62.77	239.55	--	--	--	--	47.14	--	--	--
ABMA	Adult	298.36	36.79	--	--	--	--	10.22	--	--	--
ABMA	Adult	74.49	144.11	--	--	--	--	2.26	--	--	--
ABMA	Adult	17.96	209.94	--	--	--	--	33.48	--	--	--
ABMA	Adult	54.23	179.4	--	--	--	--	6.42	--	--	--
ABMA	Adult	64.22	208.79	--	--	--	--	136.1	--	--	--
ABMA	Adult	280.9	175.4	--	--	--	--	3.22	--	--	--
ABMA	Adult	215.28	221.76	--	--	--	--	10.34	--	--	--
ABMA	Adult	66.4	218.65	--	--	--	--	17.81	--	--	--
ABMA	Adult	151.61	113.95	--	--	--	--	5.57	--	--	--
