X	Y	Species	Type	Diam	Height
4.333	282.522	ABCO	Adult	8.79	0
281.521	65.803	ABCO	Adult	6.02	0
49.971	172.374	ABCO	Adult	3.503	0
21.23	51.155	ABCO	Adult	2.625	0
159.692	116.172	ABCO	Adult	2.137	0
69.956	98.365	ABCO	Adult	0.97	0
26.864	244.086	ABCO	Adult	0.238	0
113.451	5.011	ABCO	Adult	6.824	0
37.672	39.882	ABCO	Adult	10.165	0
6.563	294.542	ABCO	Adult	9.296	0
88.944	56.394	ABCO	Adult	0.539	0
74.745	20.962	ABCO	Adult	11.661	0
124.042	82.7	ABCO	Adult	2.892	0
238.583	169.94	ABCO	Adult	82.274	0
298.992	228.991	ABCO	Adult	3.978	0
21.466	78.618	ABCO	Adult	5.624	0
96.991	78.084	ABCO	Adult	0.483	0
258.79	10.535	ABCO	Adult	5.994	0
139.926	125.89	ABCO	Adult	9.066	0
162.023	134.851	ABCO	Adult	15.667	0
105.676	190.271	ABCO	Adult	6.321	0
88.249	3.684	ABCO	Adult	9.76	0
130.717	71.608	ABCO	Adult	1.241	0
91.576	242.087	ABCO	Adult	3.058	0
244.681	181.851	ABCO	Adult	6.145	0
224.868	279.875	ABCO	Adult	5.896	0
95.115	144.432	ABCO	Adult	10.816	0
263.619	153.8	ABCO	Adult	1.094	0
108.52	77.679	ABCO	Adult	2.702	0
193.697	23.517	ABCO	Adult	14.46	0
77.444	23.413	ABCO	Adult	1.645	0
56.074	191.581	ABCO	Adult	0.873	0
187.473	97.47	ABCO	Adult	2.327	0
23.619	155.203	ABCO	Adult	9.419	0
128.834	77.177	ABCO	Adult	25.499	0
115.966	183.925	ABCO	Adult	15.213	0
271.3	141.704	ABCO	Adult	28.512	0
71.127	113.824	ABCO	Adult	3.587	0
209.986	131.317	ABCO	Adult	17.32	0
59.743	295.626	ABCO	Adult	1.44	0
98.559	51.717	ABCO	Adult	28.353	0
24.032	254.035	ABCO	Adult	13.914	0
169.921	295.217	ABCO	Adult	6.283	0
176.272	44.369	ABCO	Adult	5.107	0
249.435	63.915	ABCO	Adult	5.374	0
53.237	29.719	ABCO	Adult	7.287	0
244.255	169.176	ABCO	Adult	5.936	0
269.482	119.871	ABCO	Adult	2.957	0
120.116	41.397	ABCO	Adult	9.699	0
237.747	18.098	ABCO	Adult	6.832	0
142.011	11.403	ABCO	Adult	26.516	0
111.223	76.875	ABCO	Adult	7.303	0
219.073	242.011	ABCO	Adult	1.395	0
131.769	149.208	ABCO	Adult	4.31	0
88.844	218.195	ABCO	Adult	6.092	0
155.46	262.255	ABCO	Adult	2.834	0
156.146	250.906	ABCO	Adult	3.068	0
140.788	75.985	ABCO	Adult	5.483	0
54.027	217.305	ABCO	Adult	0.337	0
107.112	170.207	ABCO	Adult	17.807	0
52.719	294.058	ABCO	Adult	11.837	0
29.418	262.912	ABCO	Adult	3.056	0
244.662	282.849	ABCO	Adult	13.321	0
289.464	234.026	ABCO	Adult	5.019	0
132.093	85.151	ABCO	Adult	5.129	0
282.902	103.328	ABCO	Adult	10.915	0
92.82	122.408	ABCO	Adult	0.361	0
228.872	77.872	ABCO	Adult	1.236	0
257.081	255.256	ABCO	Adult	7.71	0
280.529	238.253	ABCO	Adult	31.347	0
124.151	26.833	ABCO	Adult	5.846	0
89.164	79.525	ABCO	Adult	2.752	0
138.14	136.427	ABCO	Adult	0.976	0
82.565	72.26	ABCO	Adult	1.946	0
59.197	106.89	ABCO	Adult	8.837	0
166.621	242.873	ABCO	Adult	13.868	0
220.165	214.823	ABCO	Adult	18.803	0
153.605	208.802	ABCO	Adult	3.894	0
112.568	141.447	ABCO	Adult	2.741	0
211.744	35.34	ABCO	Adult	2.083	0
35.038	62.269	ABCO	Adult	25.829	0
217.23	143.406	ABCO	Adult	22.121	0
116.106	267.658	ABCO	Adult	0.832	0
159.647	113.404	ABCO	Adult	13.729	0
241.386	141.257	ABCO	Adult	1.191	0
291.356	244.182	ABCO	Adult	4.305	0
171.939	120.394	ABCO	Adult	4.663	0
270.817	130.305	ABCO	Adult	5.264	0
187.644	181.219	ABCO	Adult	9.75	0
282.106	273.386	ABCO	Adult	3.043	0
15.298	196.182	ABCO	Adult	8.326	0
19.798	120.32	ABCO	Adult	0.309	0
22.916	18.09	ABCO	Adult	6.453	0
19.104	184.148	ABCO	Adult	3.553	0
251.544	134.629	ABCO	Adult	1.708	0
73.591	77.067	ABCO	Adult	4.167	0
28.711	0.105	ABCO	Adult	6.418	0
7.41	113.54	ABCO	Adult	41.491	0
28.952	218.197	ABCO	Adult	52.012	0
102.989	145.986	ABCO	Adult	5.621	0
152.024	204.334	ABCO	Adult	30.617	0
230.794	296.441	ABCO	Adult	1.821	0
41.148	263.483	ABCO	Adult	2.687	0
23.661	243.763	ABCO	Adult	1.186	0
277.231	216.074	ABCO	Adult	0.331	0
123.282	157.649	ABCO	Adult	39.02	0
24.938	127.305	ABCO	Adult	0.994	0
152.903	230.383	ABCO	Adult	5.994	0
218.416	109.1	ABCO	Adult	4.146	0
172.685	60.168	ABCO	Adult	2.414	0
83.324	27.897	ABCO	Adult	7.464	0
271.338	279.065	ABCO	Adult	1.134	0
118.633	17.712	ABCO	Adult	7.254	0
264.61	142.94	ABCO	Adult	30.694	0
80.833	49.485	ABCO	Adult	0.242	0
50.252	100.296	ABCO	Adult	63.833	0
51.729	128.925	ABCO	Adult	21.374	0
168.663	167.713	ABCO	Adult	5.127	0
160.202	115.992	ABCO	Adult	14.333	0
185.438	180.332	ABCO	Adult	37.473	0
163.879	53.4	ABCO	Adult	30.843	0
88.699	205.057	ABCO	Adult	8.203	0
238.813	166.022	ABCO	Adult	6.024	0
127.114	25.607	ABCO	Adult	4.52	0
87.141	137.011	ABCO	Adult	8.507	0
259.298	114.527	ABCO	Adult	28.965	0
127.522	170.966	ABCO	Adult	15.948	0
71.56	29.483	ABCO	Adult	12.062	0
6.619	34.808	ABCO	Adult	0.878	0
98.375	210.272	ABCO	Adult	0.727	0
290.342	258.444	ABCO	Adult	58.836	0
228.183	78.037	ABCO	Adult	15.373	0
69.729	5.118	ABCO	Adult	0.294	0
119.845	168.141	ABCO	Adult	4.223	0
145.154	225.953	ABCO	Adult	8.562	0
249.813	24.775	ABCO	Adult	1.362	0
289.753	156.983	ABCO	Adult	5.213	0
166.417	159.858	ABCO	Adult	16.788	0
176.667	103.516	ABCO	Adult	4.554	0
280.839	14.155	ABCO	Adult	0.751	0
170.942	23.126	ABCO	Adult	8.864	0
177.066	186.615	ABCO	Adult	1.62	0
125.411	8.086	ABCO	Adult	4.873	0
49.466	230.128	ABCO	Adult	7.773	0
38.364	163.425	ABCO	Adult	8.196	0
240.476	69.839	ABCO	Adult	23.561	0
180.288	187.182	ABCO	Adult	5.772	0
134.388	253.02	ABCO	Adult	58.542	0
132.97	223.432	ABCO	Adult	21.851	0
208.28	143.1	ABCO	Adult	4.993	0
127.523	99.567	ABCO	Adult	50.077	0
33.941	66.693	ABCO	Adult	45.128	0
227.73	111.637	ABCO	Adult	4.301	0
16.221	67.941	ABCO	Adult	10.327	0
33.638	79.947	ABCO	Adult	12.018	0
160.004	195.556	ABCO	Adult	19.033	0
75.288	135.27	ABCO	Adult	13.296	0
263.272	284.933	ABCO	Adult	8.693	0
111.961	247.409	ABCO	Adult	9.346	0
244.992	31.893	ABCO	Adult	1.805	0
46.55	13.656	ABCO	Adult	13.376	0
171.773	285.986	ABCO	Adult	29.265	0
181.537	290.709	ABCO	Adult	2.762	0
117.805	110.549	ABCO	Adult	17.383	0
204.695	171.214	ABCO	Adult	19.159	0
4.24	202.508	ABCO	Adult	18.841	0
216.714	253.937	ABCO	Adult	4.908	0
120.131	198.714	ABCO	Adult	44.05	0
170.7	213.971	ABCO	Adult	3.367	0
227.461	190.905	ABCO	Adult	10.23	0
126.736	247.023	ABCO	Adult	7.303	0
284.129	96.222	ABCO	Adult	1.25	0
15.77	166.481	ABCO	Adult	5.95	0
227.085	179.34	ABCO	Adult	5.605	0
180.299	182.144	ABCO	Adult	8.58	0
14.445	291.532	ABCO	Adult	6.69	0
189.215	206.186	ABCO	Adult	24.431	0
