X	Y	Species	Type	Diam	Height
287.239	89.369	ABCO	Adult	10.212	0
40.227	108.342	ABCO	Adult	13.517	0
168.104	99.634	ABCO	Adult	33.591	0
34.655	164.85	ABCO	Adult	0.356	0
107.678	241.557	ABCO	Adult	6.464	0
282.475	191.496	ABCO	Adult	18.689	0
4.944	207.047	ABCO	Adult	9.335	0
170.487	183.123	ABCO	Adult	13.937	0
105.476	12.238	ABCO	Adult	4.179	0
287.82	293.624	ABCO	Adult	17.925	0
271.958	231.915	ABCO	Adult	13.979	0
21.149	230.263	ABCO	Adult	2.381	0
192.553	17.716	ABCO	Adult	4.498	0
239.517	88.529	ABCO	Adult	14.345	0
190.85	88.676	ABCO	Adult	11.178	0
222.69	134.71	ABCO	Adult	11.77	0
52.657	122.347	ABCO	Adult	2.328	0
245.32	103.684	ABCO	Adult	19.73	0
182.422	277.638	ABCO	Adult	16.194	0
192.131	161.712	ABCO	Adult	2.808	0
154.729	279.935	ABCO	Adult	30.949	0
281.976	162.89	ABCO	Adult	1.572	0
182.393	162.873	ABCO	Adult	38.917	0
291.162	114.1	ABCO	Adult	11.224	0
205.737	247.838	ABCO	Adult	11.536	0
35.69	223.229	ABCO	Adult	10.332	0
204.236	284.435	ABCO	Adult	2.641	0
122.199	71.394	ABCO	Adult	0.719	0
25.856	192.345	ABCO	Adult	10.413	0
149.427	162.868	ABCO	Adult	7.011	0
133.768	226.729	ABCO	Adult	17.534	0
267.946	45.453	ABCO	Adult	21.231	0
42.637	151.298	ABCO	Adult	29.237	0
115.085	132.799	ABCO	Adult	1.948	0
139.103	50.769	ABCO	Adult	7.754	0
11.944	247.929	ABCO	Adult	6.982	0
45.624	194.068	ABCO	Adult	43.846	0
91.597	23.235	ABCO	Adult	3.63	0
43.147	57.665	ABCO	Adult	24.396	0
94.428	3.35	ABCO	Adult	0.348	0
191.57	198.869	ABCO	Adult	10.251	0
44.039	130.352	ABCO	Adult	12.325	0
151.016	136.093	ABCO	Adult	20.446	0
286.55	19.335	ABCO	Adult	3.176	0
225.985	140.738	ABCO	Adult	28.241	0
298.664	175.343	ABCO	Adult	10.431	0
185.371	29.849	ABCO	Adult	10.661	0
256.787	288.859	ABCO	Adult	2.36	0
288.726	153.498	ABCO	Adult	8.935	0
121.05	193.546	ABCO	Adult	0.462	0
38.493	39.754	ABCO	Adult	16.841	0
56.962	287.273	ABCO	Adult	1.409	0
168.528	22.793	ABCO	Adult	3.282	0
190.936	223.148	ABCO	Adult	5.038	0
124.65	125.424	ABCO	Adult	15.408	0
136.815	280.867	ABCO	Adult	3.578	0
292.437	143.59	ABCO	Adult	3.483	0
58.322	279.531	ABCO	Adult	7.88	0
257.95	141.59	ABCO	Adult	6.514	0
294.031	8.506	ABCO	Adult	0.835	0
171.568	70.689	ABCO	Adult	16.407	0
22.297	100.623	ABCO	Adult	2.56	0
205.197	33.084	ABCO	Adult	39.89	0
207.545	63.775	ABCO	Adult	9.596	0
177.061	263.521	ABCO	Adult	5.247	0
71.772	85.326	ABCO	Adult	3.485	0
270.164	103.765	ABCO	Adult	8.24	0
127.979	151.44	ABCO	Adult	5.653	0
257.278	83.873	ABCO	Adult	44.431	0
259.421	247.837	ABCO	Adult	45.695	0
136.43	201.043	ABCO	Adult	1.523	0
79.991	218.657	ABCO	Adult	8.121	0
290.644	233.626	ABCO	Adult	29.672	0
1.71	68.11	ABCO	Adult	3.717	0
30.164	177.343	ABCO	Adult	13.243	0
215.65	153.456	ABCO	Adult	1.245	0
16.285	26.545	ABCO	Adult	4.348	0
58.276	258.109	ABCO	Adult	1.641	0
8.852	24.246	ABCO	Adult	14.79	0
123.903	295.901	ABCO	Adult	14.291	0
116.701	198.61	ABCO	Adult	8.827	0
163.79	37.535	ABCO	Adult	26.332	0
247.816	229.738	ABCO	Adult	26.39	0
158.679	165.515	ABCO	Adult	20.053	0
192.423	269.838	ABCO	Adult	1.506	0
172.436	160.855	ABCO	Adult	13.963	0
199.541	93.394	ABCO	Adult	13.646	0
260.254	111.269	ABCO	Adult	5.011	0
214.642	236.777	ABCO	Adult	2.549	0
217.082	80.788	ABCO	Adult	7.166	0
229.44	292.481	ABCO	Adult	4.109	0
42.942	29.031	ABCO	Adult	30.801	0
38.216	67.293	ABCO	Adult	10.056	0
144.07	136.328	ABCO	Adult	2.864	0
33.577	229.268	ABCO	Adult	15.233	0
104.65	111.098	ABCO	Adult	2.437	0
237.391	288.854	ABCO	Adult	29.988	0
274.131	252.839	ABCO	Adult	10.463	0
34.311	253.092	ABCO	Adult	2.687	0
50.384	115.986	ABCO	Adult	10.408	0
22.704	268.64	ABCO	Adult	9.051	0
275.762	132.996	ABCO	Adult	1.179	0
68.203	53.164	ABCO	Adult	15.64	0
29.738	68.466	ABCO	Adult	14.127	0
25.367	273.105	ABCO	Adult	12.473	0
268.802	113.649	ABCO	Adult	5.357	0
268.79	244.248	ABCO	Adult	1.415	0
8.336	137.659	ABCO	Adult	32.957	0
42.685	263.612	ABCO	Adult	2.433	0
112.485	157.141	ABCO	Adult	4.499	0
229.02	275.817	ABCO	Adult	0.713	0
280.462	125.764	ABCO	Adult	5.649	0
229.784	281.841	ABCO	Adult	8.46	0
197.769	264.313	ABCO	Adult	40.334	0
39.396	9.582	ABCO	Adult	4.996	0
78.462	85.787	ABCO	Adult	6.568	0
22.041	200.822	ABCO	Adult	3.31	0
172.449	281.775	ABCO	Adult	9.424	0
27.089	12.71	ABCO	Adult	5.505	0
292.384	72.488	ABCO	Adult	7.972	0
238.143	166.683	ABCO	Adult	2.77	0
105.962	194.309	ABCO	Adult	2.409	0
278.71	259.571	ABCO	Adult	0.471	0
154.357	6.048	ABCO	Adult	13.804	0
230.487	294.538	ABCO	Adult	17.763	0
38.568	87.402	ABCO	Adult	5.293	0
228.918	178.755	ABCO	Adult	8.612	0
193.355	117.216	ABCO	Adult	12.545	0
180.601	78.092	ABCO	Adult	23.865	0
289.766	35.415	ABCO	Adult	6.815	0
24.081	43.194	ABCO	Adult	10.824	0
50.793	132.292	ABCO	Adult	4.685	0
199.14	266.769	ABCO	Adult	7.546	0
238.403	271.464	ABCO	Adult	2.821	0
260.561	79.738	ABCO	Adult	6.352	0
152.144	279.697	ABCO	Adult	8.748	0
4.964	37.153	ABCO	Adult	33.666	0
235.001	121.968	ABCO	Adult	9.979	0
278.879	92.52	ABCO	Adult	3.161	0
298.428	131.041	ABCO	Adult	5.358	0
55.148	137.401	ABCO	Adult	5.763	0
132.906	202.934	ABCO	Adult	5.84	0
151.39	232.686	ABCO	Adult	9.711	0
250.369	150.505	ABCO	Adult	12.621	0
104.704	258.033	ABCO	Adult	53.434	0
188.81	227.589	ABCO	Adult	33.668	0
159.37	270.635	ABCO	Adult	9.012	0
121.86	208.884	ABCO	Adult	3.679	0
281.718	271.331	ABCO	Adult	23.204	0
231.892	219.347	ABCO	Adult	16.74	0
247.443	191.172	ABCO	Adult	16.055	0
104.174	38.891	ABCO	Adult	46.964	0
65.828	133.905	ABCO	Adult	8.321	0
175.661	69.815	ABCO	Adult	23.013	0
28.069	51.222	ABCO	Adult	37.023	0
1.19	17.118	ABCO	Adult	12.106	0
46.668	110.889	ABCO	Adult	17.484	0
163.432	182.613	ABCO	Adult	10.424	0
164.264	119.547	ABCO	Adult	8.342	0
10.825	280.595	ABCO	Adult	0.96	0
76.752	283.044	ABCO	Adult	15.737	0
102.211	169.267	ABCO	Adult	1.825	0
208.435	242.202	ABCO	Adult	20.127	0
77.104	52.49	ABCO	Adult	7.303	0
123.148	211.581	ABCO	Adult	8.565	0
191.294	18.849	ABCO	Adult	5.714	0
199.976	185.186	ABCO	Adult	55.676	0
179.637	54.152	ABCO	Adult	7.764	0
24.032	177.811	ABCO	Adult	4.963	0
134.559	285.592	ABCO	Adult	2.362	0
246.687	266.426	ABCO	Adult	6.328	0
236.207	191.038	ABCO	Adult	3.218	0
104.655	199.695	ABCO	Adult	3.138	0
112.178	55.993	ABCO	Adult	39.585	0
211.408	140.96	ABCO	Adult	5.88	0
145.007	116.096	ABCO	Adult	0.249	0
147.685	203.536	ABCO	Adult	23.51	0
25.431	278.173	ABCO	Adult	65.517	0
155.338	153.568	ABCO	Adult	6.661	0
283.903	5.166	ABCO	Adult	18.518	0
268.876	295.833	ABCO	Adult	6.774	0
225.749	292.408	ABCO	Adult	3.142	0
280.977	230.336	ABCO	Adult	7.218	0
186.712	149.294	ABCO	Adult	7.232	0
209.241	40.234	ABCO	Adult	4.1	0
207.353	167.809	ABCO	Adult	5.183	0
121.152	107.007	ABCO	Adult	1.285	0
59.621	53.33	ABCO	Adult	3.286	0
283.671	202.285	ABCO	Adult	8.254	0
130.998	49.604	ABCO	Adult	39.758	0
27.812	17.553	ABCO	Adult	6.026	0
174.777	251.93	ABCO	Adult	10.969	0
259.034	85.987	ABCO	Adult	4.349	0
33.132	22.276	ABCO	Adult	38.698	0
239.086	276.943	ABCO	Adult	7.609	0
151.104	131.915	ABCO	Adult	2.272	0
67.908	178.864	ABCO	Adult	3.885	0
31.381	52.86	ABCO	Adult	40.547	0
109.202	278.573	ABCO	Adult	2.78	0
110.084	211.04	ABCO	Adult	18.343	0
44.617	188.773	ABCO	Adult	10.05	0
160.121	144.981	ABCO	Adult	2.675	0
285.689	89.116	ABCO	Adult	4.436	0
178.534	97.236	ABCO	Adult	6.939	0
37.05	83.736	ABCO	Adult	2.861	0
77.724	297.743	ABCO	Adult	6.435	0
195.254	159.882	ABCO	Adult	7.054	0
82.14	155.612	ABCO	Adult	10.469	0
281.165	196.911	ABCO	Adult	13.748	0
96.218	65.107	ABCO	Adult	0.294	0
198.744	108.708	ABCO	Adult	21.245	0
173.41	153.163	ABCO	Adult	10.98	0
273.112	19.622	ABCO	Adult	6.037	0
208.874	154.074	ABCO	Adult	2.582	0
108.074	8.468	ABCO	Adult	28.916	0
3.207	254.749	ABCO	Adult	5.371	0
27.474	93.837	ABCO	Adult	8.788	0
87.668	231.342	ABCO	Adult	5.748	0
0.37	219.621	ABCO	Adult	8.78	0
207.573	38.391	ABCO	Adult	6.566	0
41.078	260.095	ABCO	Adult	13.058	0
1.344	287.154	ABCO	Adult	21.452	0
52.713	223.322	ABCO	Adult	0.551	0
138.339	286.976	ABCO	Adult	6.808	0
124.62	85.574	ABCO	Adult	18.6	0
209.043	128.85	ABCO	Adult	22.653	0
0.758	214.462	ABCO	Adult	5.346	0
129.623	294.698	ABCO	Adult	1.419	0
61.636	77.592	ABCO	Adult	1.093	0
243.586	49.23	ABCO	Adult	4.532	0
249.312	151.639	ABCO	Adult	4.604	0
178.774	135.732	ABCO	Adult	11.429	0
36.487	278.376	ABCO	Adult	3.562	0
256.961	187.064	ABCO	Adult	0.239	0
191.263	80.346	ABCO	Adult	6.283	0
280.389	165.311	ABCO	Adult	6.232	0
202.327	31.643	ABCO	Adult	1.822	0
174.977	265.251	ABCO	Adult	3.512	0
135.96	188.874	ABCO	Adult	4.73	0
34.26	85.175	ABCO	Adult	8.266	0
216.067	6.91	ABCO	Adult	39.366	0
270.198	190.298	ABCO	Adult	2.102	0
242.223	197.773	ABCO	Adult	2.872	0
273.808	298.124	ABCO	Adult	5.3	0
