X	Y	Species	Type	Diam	Height
243.322	64.905	ABMA	Adult	20.913	0
262.114	111.413	ABMA	Adult	115.784	0
235.426	294.379	ABMA	Adult	2.443	0
35.586	131.578	ABMA	Adult	2.232	0
160.848	46.806	ABMA	Adult	10.392	0
221.081	50.399	ABMA	Adult	115.761	0
90.306	243.951	ABMA	Adult	2.062	0
19.573	249.475	ABMA	Adult	114.123	0
284.078	280.478	ABMA	Adult	15.026	0
149.888	44.127	ABMA	Adult	2.31	0
138.585	55.185	ABMA	Adult	48.497	0
59.347	204.926	ABMA	Adult	37.417	0
286.11	80.389	ABMA	Adult	3.152	0
295.683	145.311	ABMA	Adult	4.23	0
230.421	155.289	ABMA	Adult	39.113	0
171.183	37.475	ABMA	Adult	3.039	0
93.543	43.09	ABMA	Adult	7.995	0
121.583	194.313	ABMA	Adult	5.789	0
228.745	22.159	ABMA	Adult	14.944	0
275.897	144.224	ABMA	Adult	3.251	0
262.638	32.958	ABMA	Adult	7.604	0
26.316	146.777	ABMA	Adult	4.589	0
64.416	266.065	ABMA	Adult	3.557	0
159.675	92.656	ABMA	Adult	13.926	0
81.374	293.63	ABMA	Adult	8.596	0
281.502	225.457	ABMA	Adult	17.635	0
160.489	109.003	ABMA	Adult	6.553	0
55.161	290.567	ABMA	Adult	13.389	0
245.312	216.323	ABMA	Adult	26.982	0
230.869	228.32	ABMA	Adult	3.642	0
15.073	23.521	ABMA	Adult	4.669	0
14.412	68.125	ABMA	Adult	5.388	0
285.725	143.277	ABMA	Adult	4.423	0
291.347	101.804	ABMA	Adult	5.489	0
231.478	204.74	ABMA	Adult	0.942	0
284.677	234.672	ABMA	Adult	80.724	0
282.773	244.789	ABMA	Adult	24.382	0
256.342	187.744	ABMA	Adult	2.79	0
258.537	30.762	ABMA	Adult	1.498	0
185.922	293.148	ABMA	Adult	0.489	0
113.448	248.624	ABMA	Adult	2.833	0
262.105	215.077	ABMA	Adult	0.344	0
236.386	107.627	ABMA	Adult	68.31	0
59.19	24.587	ABMA	Adult	3.015	0
153.723	76.822	ABMA	Adult	2.4	0
58.121	107.555	ABMA	Adult	2.476	0
66.207	80.916	ABMA	Adult	11.35	0
142.362	55.578	ABMA	Adult	4.671	0
103.576	176.697	ABMA	Adult	4.016	0
279.429	208.49	ABMA	Adult	3.625	0
275.23	8.522	ABMA	Adult	6.321	0
286.312	90.121	ABMA	Adult	3.647	0
167.41	153.775	ABMA	Adult	96.229	0
38.66	280.844	ABMA	Adult	63.479	0
83.852	258.808	ABMA	Adult	4.877	0
105.054	11.494	ABMA	Adult	3.216	0
249.065	187.578	ABMA	Adult	2.577	0
232.656	209.217	ABMA	Adult	0.683	0
41.069	133.893	ABMA	Adult	2.433	0
44.11	88.867	ABMA	Adult	9.744	0
84.19	168.537	ABMA	Adult	9.176	0
289.678	281.918	ABMA	Adult	2.109	0
175.577	106.316	ABMA	Adult	15.964	0
151.83	15.911	ABMA	Adult	30.593	0
