X	Y	Species	Type	Diam	Height
140.39	201.82	ABCO	Adult	9.92	0
157.8	235.58	ABCO	Adult	9.13	0
130.56	54.67	ABCO	Adult	1.17	0
89.31	244.52	ABCO	Adult	4.84	0
148.3	199.39	ABCO	Adult	156.92	0
226.04	94	ABCO	Adult	11.31	0
81.78	142.85	ABCO	Adult	29.3	0
248.06	141.57	ABCO	Adult	6.88	0
47.98	130.82	ABCO	Adult	7.29	0
105.66	2.61	ABCO	Adult	0.73	0
174.38	220.48	ABCO	Adult	4.86	0
256.95	24.05	ABCO	Adult	28.97	0
254.35	21.87	ABCO	Adult	8.49	0
46.04	276.41	ABCO	Adult	7.22	0
178.56	17.66	ABCO	Adult	17.44	0
271.63	226.65	ABCO	Adult	4.03	0
137.67	55.41	ABCO	Adult	2.62	0
192.3	80.25	ABCO	Adult	0.92	0
167.55	192.18	ABCO	Adult	6.86	0
219	69.36	ABCO	Adult	3.52	0
67.06	249.77	ABCO	Adult	19.08	0
213.62	60.85	ABCO	Adult	2.75	0
227.02	2.78	ABCO	Adult	10.6	0
90.1	203.11	ABCO	Adult	0.77	0
292.77	170.62	ABCO	Adult	1.63	0
193.82	45.92	ABCO	Adult	2.75	0
227.35	95.68	ABCO	Adult	24.52	0
284.17	27.33	ABCO	Adult	7.69	0
118.09	128.54	ABCO	Adult	25.2	0
167.08	147.42	ABCO	Adult	3.51	0
202.41	37.48	ABCO	Adult	4.05	0
20.22	228.75	ABCO	Adult	0.85	0
226.48	200.84	ABCO	Adult	5.17	0
144.82	77.88	ABCO	Adult	9.43	0
262.89	5.04	ABCO	Adult	2.69	0
22.56	144.61	ABCO	Adult	2.56	0
154.54	185.42	ABCO	Adult	9.3	0
153.42	262.32	ABCO	Adult	1.96	0
242.5	17.4	ABCO	Adult	1.98	0
273.33	54.82	ABCO	Adult	12.09	0
17.49	118.12	ABCO	Adult	6.48	0
109.75	27.48	ABCO	Adult	1.69	0
61.63	189.86	ABCO	Adult	1.54	0
291.75	137.23	ABCO	Adult	7.95	0
139.34	59.46	ABCO	Adult	10.82	0
248.92	213.29	ABCO	Adult	3.52	0
250.11	281.79	ABCO	Adult	2	0
206.6	190.89	ABCO	Adult	1.84	0
132.43	79.05	ABCO	Adult	9.13	0
196.3	198.83	ABCO	Adult	21.02	0
20.18	160.43	ABCO	Adult	24.56	0
136.72	168.51	ABCO	Adult	12.21	0
77.71	268.83	ABCO	Adult	1.44	0
3.5	162.87	ABCO	Adult	9.59	0
121.11	193.56	ABCO	Adult	32.99	0
218.6	152.37	ABCO	Adult	4.67	0
153.26	182.82	ABCO	Adult	2.77	0
49.32	160.19	ABCO	Adult	5.01	0
129.54	37.05	ABCO	Adult	31.5	0
209.77	42.23	ABCO	Adult	40.76	0
193	248.54	ABCO	Adult	18.2	0
162.7	139.61	ABCO	Adult	4.98	0
52.69	295.07	ABCO	Adult	7.49	0
1.77	219.49	ABCO	Adult	7.67	0
64.84	185.81	ABCO	Adult	4.05	0
59.37	221.49	ABCO	Adult	13.4	0
