X	Y	Species	Type	Diam	Height
212.7	84.7	PIMO	Adult	8.3	0
110.6	159.7	PIMO	Adult	10.81	0
237.4	186.4	PIMO	Adult	7.1	0
160.5	99.0	PIMO	Adult	9.1	0
46.6	258.0	PIMO	Adult	14.3	0
147.9	119.3	PIMO	Adult	7.8	0
169.2	60.8	PIMO	Adult	7.8	0
236.5	74.7	PIMO	Adult	8.5	0
61.58	64.4	PIMO	Adult	9.6	0
262.5	276.4	PIMO	Adult	7.5	0
169.1	146.0	PIMO	Adult	16.4	0
160.9	276.4	PIMO	Adult	11.2	0
21.2	227.3	PIMO	Adult	12.5	0
272.9	233.2	PIMO	Adult	8.0	0
12.1	257.6	PIMO	Adult	8.3	0
147.6	38.3	PIMO	Adult	10.4	0
92.3	57.7	PIMO	Adult	19.6	0
264.5	221.9	PIMO	Adult	19.3	0
164.7	83.5	PIMO	Adult	10.6	0
220.7	241.9	PIMO	Adult	9.6	0
174.2	17.1	PIMO	Adult	6.0	0
52.7	167.4	PIMO	Adult	12.25	0
242.79	243.2	PIMO	Adult	10.6	0
75.1	272.7	PIMO	Adult	10.8	0
176.8	125.5	PIMO	Adult	9.3	0
91.0	38.6	PIMO	Adult	14.8	0
